product_id,bm_number,product_name,product_dsc,category_name,brand_name
3815,BM1A8Q5,Racheting Type Safety Helmet - Yellow,,Hard Hats,Legacy Brand
3819,BM1A7C1,Slotted Shim Asst Ss A-2 X 2 In 260 Pc,,Accessories,Legacy Brand
3822,BM1A7R4,Feeler Gage Set 13 Pc,,Feeler Gauges,Legacy Brand
3829,BM1A7U5,Socket Set Screw Cup 10-24X1/4 Pk 100,,Socket Head Cap Screws,Legacy Brand
3850,BM1A5H6,"S.S.304 Grade Bolts M8 "" 30 mm",,Miscellaneous Bolts,Legacy Brand
3831,BM1A6M0,"Welder Jacket "" Leather ( Full Sleeve )",,Welding Jackets,Legacy Brand
3836,BM1A8M4,Leather Safety Shoes Steel Toe - BM1A8M4,,Plain Toe Boots and Shoes,Legacy Brand
3841,BM1A7Q5,Stretch Wrap Dispenser 12 In To 20 In.,,Accessories,Legacy Brand
3842,BM1A6A9,Seat Creeper 15-3/4 Lx14-1/2 W X15 H In.,,Accessories,Legacy Brand
3843,BM1A6A2,Utility Cart 500 Lb Load Cap.,,Accessories,Legacy Brand
3861,BM1A7M2,Safety Glasses Clear Scratch-Resistant - BM1A7M2,,Accessories,Legacy Brand
9644,BM3E3U1,"HP Enklo 68 Hydraulic Oil, 210 Ltr",,Office Supplies,Legacy Brand
4125,BM0O8K9,Drill bit set (Metal drill) 25pcs,,Tap and Drill Sets,Legacy Brand
4151,9GV0A,Screw Driver Sets (Special with Neon Bulbs),,Screwdrivers,Legacy Brand
6018,BM9A2Z2,Mettalic Door With Half Glass And Hydarulic Door Closer,,Accessories,Legacy Brand
4127,B4H0A,DOUBLE ENDED SPANNER SET [9 PCS SET IN INCH],,Combination Wrenches,Legacy Brand
4129,BM0Z0V1,"5"" Anngle Grinder 11000 RPM Power input 670W",,Cordless Angle Grinders,Legacy Brand
4297,1BHYZ,Big buckets with lid for waste 60ltr - 1BHYZ,,Accessories,Legacy Brand
4299,BM0Y9V3,"Tarpaulin Sheets size 30 ft x 40 ft , blue colour , 180 GSM",,Tarps and Accessories,Legacy Brand
4489,BM0O8L3,"MS Square Bar Hallow 1"", 2mm Thickness (20 Ft Rod)",,"Stainless Steel Blanks, Flats, Bars, Plates, and Sheet Stock",Legacy Brand
4491,BM0O8L5,"MS Pipe Od, 6mm Id, 4mm (20Ftrod)",,Stainless Steel Pipe,Legacy Brand
4535,BM0O8P4,"S S Seamless Tube, ASTM A269 Tp 316/316L"" 1/2 Od X 1.2 mm ASTM A269 TP 316/316L",,Accessories,Legacy Brand
4108,1BI03,Nylon Tubing 8mm OD X 6mm ID COLOUR  Natural,,Accessories,Legacy Brand
4562,BM0P0W6,"Fluke make, model no 287",,Accessories,Legacy Brand
4565,BM0Y7S2,Disposable Head Cap,,Accessories,Legacy Brand
4169,BM0K8Y0,Cotton Waste,,Accessories,Legacy Brand
4280,BM1B1Y5,"Spiral Wound Gasket"" Filler, Stainless Steel 316",,Gaskets,Legacy Brand
4284,BM1B1S7,Nitrile Examination Gloves (Powder Free) M Powder,,Disposable Gloves,Legacy Brand
