Po number,Date,Vendor,Remarks,Due Date,Project,Document Total,Payment Terms Code,Document Currency,Document Rate,Document Status,Canceled,Project Code,Tax Amount (SC),,
40200090,28 Feb 18,Lift Arts,,28 Feb 18,,23955.8,Net-30,Indian Rupee,1,Open,No,17305-Fwd: Lifting tool and tackels,3295.8,,
40200111,6 Mar 18,Taj Enterprises,,6 Mar 18,,29500,Net-30,Indian Rupee,1,Open,No,16261-Fwd: FW: please provide me a quotation for below items.,4500,,
40200117,7 Mar 18,Flowers Love And Cakes,,7 Mar 18,,22340.64,Net-30,Indian Rupee,1,Open,No,18356-Women's day bouquet,0,,
40200120,7 Mar 18,Krishan Brothers,,7 Mar 18,,6195,Net-30,Indian Rupee,1,Closed,No,16665-Fwd: Tools additional requirements,945,,
40200123,8 Mar 18,B. J. PRODUCTS,,8 Mar 18,,64664,Net-30,Indian Rupee,1,Open,No,18193-Fwd: Requirement of MISC items for start-up,9864,,
40200124,7 Mar 18,bhaigora enterprises,,7 Mar 18,,2438.09,Net-30,Indian Rupee,1,Closed,No,16665-Fwd: Tools additional requirements,371.92,,
40200127,8 Mar 18,Advancetech Controls Pvt. Ltd.,,8 Mar 18,,346877.52,Net-30,Indian Rupee,1,Open,No,18370-Requirement of SIS3153 USB,52913.52,,
40200131,8 Mar 18,Shore Auto Rubber Exports Pvt. Ltd.,,8 Mar 18,,26266.8,Net-30,Indian Rupee,1,Closed,No,16273-High Temp Hump hose,4006.8,,
40200142,8 Mar 18,Inder Industries,,8 Mar 18,,12728.66,Net-30,Indian Rupee,1,Open,No,18086-RFQ-#131132133,1941.66,,
40200151,9 Mar 18,hardcastle Petrofer,,9 Mar 18,,41631.58,Net-30,Indian Rupee,1,Open,No,18389-P9374871-1:DRUCK: NB 4591062901 => Bulk Mro Indust,6350.58,,
40200154,13 Mar 18,Ferreterro India Pvt. Ltd.,,13 Mar 18,,4736.52,Net-30,Indian Rupee,1,Open,No,18086-RFQ-#131132133,722.52,,
40200156,9 Mar 18,Filpro Sensors  Pvt. Ltd.,,9 Mar 18,,3757.12,Net-30,Indian Rupee,1,Open,No,18086-RFQ-#131132133,573.12,,
40200157,9 Mar 18,Kiran Diamond Tools,,9 Mar 18,,50598.08,Net-30,Indian Rupee,1,Open,No,15637-FW: RFQ for Fab shop equipments,7718.36,,
40200158,9 Mar 18,Bosch Ltd.,,9 Mar 18,,24326.88,Net-30,Indian Rupee,1,Open,No,15637-FW: RFQ for Fab shop equipments,3710.88,,
40200159,9 Mar 18,Bombay Tools Supplying Agency,,9 Mar 18,,6549,Net-30,Indian Rupee,1,Open,No,18086-RFQ-#131132133,999,,
40200161,9 Mar 18,3D Marketing and Services,,9 Mar 18,,27612,Net-30,Indian Rupee,1,Open,No,16375-Enquiry for Pneumatic Ratchet,4212,,
40200162,9 Mar 18,Navkar Enterprise,,9 Mar 18,,2135.33,Net-30,Indian Rupee,1,Closed,No,18193-Fwd: Requirement of MISC items for start-up,325.73,,
40200165,10 Mar 18,Lift Arts,,10 Mar 18,,16770.88,Net-30,Indian Rupee,1,Open,No,18443-PO NO 55011444,1796.88,,
40200171,10 Mar 18,Union Enterprises Pvt. Ltd.,,10 Mar 18,,60272.28,Net-30,Indian Rupee,1,Closed,No,17058-Fwd: Quotation required for Graco make feed pump spare.,9194.08,,
40200185,13 Mar 18,E-Square Alliance Pvt. Ltd.,,13 Mar 18,,2156.46,50% Against PI and 50% after 45 Days,Indian Rupee,1,Open,No,17768-Required Quote for barricading system,328.95,,
40200186,13 Mar 18,Kartik Cloth Centre and Tailors,,13 Mar 18,,3360,Net-30,Indian Rupee,1,Closed,No,18167-Henkel Enquiry for Apron,160,,
40200187,13 Mar 18,Mehta Sanghvi and Co,,13 Mar 18,,7174.4,Net-30,Indian Rupee,1,Closed,No,18188-Quote for ARGON GAS CYLINDER REGULATOR for CTIPL Dewas Plant.,1094.4,,
40200188,31 May 18,Mehta Tools and Machinery,,31 May 18,,123811.5,50% advance and 50% after delivery,Indian Rupee,1,Closed,No,15637-FW: RFQ for Fab shop equipments,18886.5,,
40200189,14 Mar 18,Flameproof Instrumentation,,14 Mar 18,,8850,Net-30,Indian Rupee,1,Closed,No,18026-Fwd: FW: Offer required for Flame proof Clock,1350,,
40200194,15 Mar 18,Valisons and Co.,,15 Mar 18,,25240.25,Net-30,Indian Rupee,1,Closed,No,18086-RFQ-#131132133,3850.2,,
40200195,14 Mar 18,Solutions,,14 Mar 18,,310393.6,100% Advance,Indian Rupee,1,Closed,Yes,17742- [EXT] Reply COMMERCIAL OFFER OF BELZONA : Need quotation,67898.6,,
40200196,15 Mar 18,Divine Engineering,,15 Mar 18,,18540.7,Net-30,Indian Rupee,1,Closed,Yes,18489-Copper wire PU Transparent Hose,2675.7,,
40200197,15 Mar 18,Ferreterro Tools LLP,,15 Mar 18,,3875.59,Net-30,Indian Rupee,1,Open,No,18086-RFQ-#131132133,591.19,,
40200200,15 Mar 18,Shree Krishna Signs,,15 Mar 18,,309750,100% Against Delivery,Indian Rupee,1,Open,No,18422-Fwd: RFQ: Vinyl Stickers for Pipe Lines_Henkel-Kurkumbh,47250,,
40200203,16 Mar 18,Victor Import,,16 Mar 18,,35840,Net-30,Indian Rupee,1,Closed,No,18518-New Po # 4591364086 => Bulk Mro Indus,3840,,
