inquiry number,quote number,order number,product sku,supplier,quantity,created at,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate,tax amount,total
16255,,2002761,BM0C7B2,,1,25-Dec-17,,,,,,,,,
16256,,2002762,BM0O6H8,,1,25-Dec-17,,,,,,,,,
16257,,2002763,BM0C7I5,,1,25-Dec-17,,,,,,,,,
16258,,2002764,BM0C7U8,,1,25-Dec-17,,,,,,,,,
16259,,2002765,BM0O6H8,,1,25-Dec-17,,,,,,,,,
16305,,2002793,BM0O7C5,,1,25-Dec-17,,,,,,,,,
16305,,2002793,BM99999,,1,25-Dec-17,,,,,,,,,
16306,,2002794,BM0Q8X8,,1,25-Dec-17,,,,,,,,,
16306,,2002794,BM99999,,1,25-Dec-17,,,,,,,,,
16118,,2002800,BM9G3F3,,100,26-Dec-17,,,,,,,,,
16285,,2002807,BM9L8S5,,15,26-Dec-17,,,,,,,,,
16285,,2002807,BM9L8S6,,40,26-Dec-17,,,,,,,,,
16285,,2002807,BM9L8S7,,24,26-Dec-17,,,,,,,,,
16285,,2002807,BM9L8S8,,14,26-Dec-17,,,,,,,,,
16285,,2002807,BM9L8S9,,7,26-Dec-17,,,,,,,,,
16317,,2002802,BM0Q8Y7,,1,26-Dec-17,,,,,,,,,
16323,,2002842,BM9L8Y4,,240,26-Dec-17,,,,,,,,,
16262,,2002828,BM9L8P8,,1,27-Dec-17,,,,,,,,,
16262,,2002828,BM9L8P9,,1,27-Dec-17,,,,,,,,,
16324,,2002811,BM9L8Y6,,2000,27-Dec-17,,,,,,,,,
16324,,2002811,BM9L8Y7,,500,27-Dec-17,,,,,,,,,
16339,,2002816,BM0C9M8,,1,27-Dec-17,,,,,,,,,
16339,,2002816,BM99999,,1,27-Dec-17,,,,,,,,,
16340,,2002817,BM0C9M8,,1,27-Dec-17,,,,,,,,,
16346,,2002823,BM0O8Y0,,1,27-Dec-17,,,,,,,,,
16355,,2002824,BM0C7I7,,1,27-Dec-17,,,,,,,,,
16356,,2002825,BM0Q8Y3,,1,27-Dec-17,,,,,,,,,
16380,,2002834,BM99999,,1,27-Dec-17,,,,,,,,,
16380,,2002834,BM9J5K5,,1,27-Dec-17,,,,,,,,,
16368,,2002832,BM6G6E0,,24,28-Dec-17,,,,,,,,,
16381,,2002835,BM0Q8X8,,1,28-Dec-17,,,,,,,,,
16395,,2002836,BM0Q8Y7,,1,28-Dec-17,,,,,,,,,
16396,,2002837,BM0C7B2,,1,28-Dec-17,,,,,,,,,
16396,,2002837,BM99999,,1,28-Dec-17,,,,,,,,,
16399,,2002838,BM0C7Q4,,1,28-Dec-17,,,,,,,,,
16399,,2002838,BM99999,,1,28-Dec-17,,,,,,,,,
16408,,2002841,BM6G6E0,,1,29-Dec-17,,,,,,,,,
16413,,2002844,BM0C8Y9,,1,29-Dec-17,,,,,,,,,
16413,,2002844,BM99999,,1,29-Dec-17,,,,,,,,,
16423,,2002847,BM1G0E9,,1,29-Dec-17,,,,,,,,,
16424,,2002848,BM0C9M8,,1,30-Dec-17,,,,,,,,,
16425,,2002849,BM0Q8Y4,,2,30-Dec-17,,,,,,,,,
16429,,2002850,BM0Q8Y4,,1,30-Dec-17,,,,,,,,,
16468,,2002865,BM0C8H9,,1,30-Dec-17,,,,,,,,,
16468,,2002865,BM99999,,1,30-Dec-17,,,,,,,,,
16430,,2002851,BM1G0E9,,1,31-Dec-17,,,,,,,,,
16431,,2002852,BM1G0E9,,1,31-Dec-17,,,,,,,,,
16432,,2002853,BM0C7U8,,1,31-Dec-17,,,,,,,,,
9231,,2002708,BMF5L7H,,5,01-Jan-18,,,,,,,,,
10398,,2002614,BM9L1P6,,4,01-Jan-18,,,,,,,,,
10398,,99999065,BM9L1S3,,2,01-Jan-18,,,,,,,,,
