address_uid,company_uid
6610,772
6610,772
9162,SC-8618
9162,SC-8618
6319,1783
6319,1783
1838,231
1838,231
9514,SC-8953
9514,SC-8953
9515,SC-8955
9515,SC-8955
9407,SC-8847
9407,SC-8847
9611,SC-9039
9611,SC-9039
9163,SC-8619
9163,SC-8619
6548,1898
6548,1898
9902,SC-9269
9902,SC-9269
1158,SC-02550
1158,SC-02550
6329,1786
6329,1786
9612,SC-9039
9612,SC-9039
125,SC-02720
125,SC-02720
A206912,SC-207802
A206912,SC-207802
9097,SC-8555
9097,SC-8555
A208995,SC-208195
A208995,SC-208195
A207761,SC-207993
A207761,SC-207993
A207154,SC-207878
A207154,SC-207878
9124,SC-8584
9124,SC-8584
983,SC-02380
983,SC-02380
1174,573
1174,573
6676,1960
6676,1960
A208415,SC-208127
A208415,SC-208127
1796,453
1796,453
A208093,SC-208074
A208093,SC-208074
A208094,SC-208075
A208094,SC-208075
A208958,SC-208188
A208958,SC-208188
9051,SC-8507
9051,SC-8507
9164,SC-8620
9164,SC-8620
2038,221
2038,221
8873,SC-8340
8873,SC-8340
5091,453
5091,453
8975,SC-8438
8975,SC-8438
184,SC-01820
184,SC-01820
A209754,SC-208371
A209754,SC-208371
5262,1047
5262,1047
5281,1581
5281,1581
3934,1340
3934,1340
1426,77
1426,77
8972,SC-8436
8972,SC-8436
4555,77
4555,77
4556,77
4556,77
6261,221
6261,221
9765,SC-9164
9765,SC-9164
9843,SC-9164
9843,SC-9164
9170,SC-8626
9170,SC-8626
1464,342
1464,342
A209105,SC-208210
A209105,SC-208210
621,SC-01204
9014,SC-01204
A207750,342
A207750,342
9653,SC-9075
9653,SC-9075
9014,SC-01204
A210100,SC-208430
2959,SC-6105
2959,SC-6105
1279,SC-02670
1279,SC-02670
9033,SC-02670
9033,SC-02670
A209109,SC-208211
A209109,SC-208211
A209110,SC-208212
A209110,SC-208212
A208104,SC-208079
A208104,SC-208079
9569,SC-9005
9569,SC-9005
2045,356
2045,356
4505,356
4505,356
A208105,SC-208080
A208105,SC-208080
1402,65
1402,65
4925,65
4925,65
2506,SC-01320
2506,SC-01320
A208106,65
A208106,65
3835,1271
3835,1271
