inquiry_no,alias,order_number,report_total,mis_date
20126,KazStroy,10210295,1803600,31-May-2018
20131,Henkel,10210258,139217,1-Jun-2018
20132,KazStroy,10210294,2164320,31-May-2018
20132,KazStroy,10210294,-2164320,27-Oct-2018
20133,Graziano,10910037,368050,19-Jun-2018
20135,Godrej,10210273,13500,28-May-2018
20145,Cummins,10210288,47663.9,29-May-2018
20146,Henkel,10210252,98289,23-May-2018
20147,Henkel,10210254,2166,23-May-2018
20151,IEC-TSL,10610085,947362.5,21-May-2018
20155,IR,10610107,19900,4-Jun-2018
20158,Cummins,10210354,33000,11-Jun-2018
20161,Beckman Coulter,10210304,39000,1-Jun-2018
20166,GE,10610158,177024,12-Jun-2018
20167,GE,10610204,15857.79,27-Jun-2018
20168,Cummins,10210344,16453.8,7-Jun-2018
20197,ZF India,10210547,25879,2-Jun-2018
20271,Henkel,10210282,168420,1-Jul-2018
20488,Sukan,10210275,5700,29-May-2018
20492,Henkel,10210384,142105,1-Aug-2018
20493,Henkel,10210397,19594,15-Jun-2018
20494,AMAT,10210836,20200,30-Aug-2018
20495,VVF India,10210320,12000,4-Jun-2018
20499,Piramal,11210009,207215,29-May-2018
20582,Henkel,10210260,45000,25-May-2018
20583,Henkel,10210278,42253.9,29-May-2018
20583,Henkel,10210278,-36967.5,1-Aug-2018
20589,Henkel,10210268,104406,28-May-2018
20597,Demosha Chemicals,10210263,4880,25-May-2018
20597,Demosha Chemicals,10210264,4880,25-May-2018
20600,ZF India,10210423,138849.62,20-Jun-2018
20601,Henkel,10210305,13366,1-Jun-2018
20610,GE,10610117,10675,8-Jun-2018
20611,GE,10610112,8997,6-Jun-2018
20612,AMAT,10210599,81140,23-Jul-2018
20612,AMAT,10210599,-81140,1-Aug-2018
20612,AMAT,10210839,81290,30-Aug-2018
20627,GE,10210301,51003,1-Jun-2018
20627,GE,10210301,-9378,16-Aug-2018
20631,GHCL,10610129,22827,13-Jun-2018
20635,Beckman Coulter,10210355,31000,11-Jun-2018
20636,GE,10210726,151022.5,10-Aug-2018
20643,IR,10610096,45000,30-May-2018
20647,Cummins - Recon India,10210421,40055,20-Jun-2018
20651,GE Power Systems,10610091,15048.12,25-May-2018
20662,Cummins,10210631,87500,27-Jul-2018
20672,Cummins,10210569,68814,18-Jul-2018
