address_uid,company_uid,street1,pincode,city_name,country_code,State,gst,,
6339,1105,"Central warehousing corporation, Godown No- 3C, Maligaon, Gate No-1, Near HDFC Bank, Maligaon",781011,Guwahati,IN,AS,27AAACA4557B1Z2,,
6339,1105,"Central warehousing corporation, Godown No- 3C, Maligaon, Gate No-1, Near HDFC Bank, Maligaon",781011,Guwahati,IN,AS,27AAACA4557B1Z2,,
9919,SC-9280,"Survey No. 162, Plot No.-4,  S.I.D.C. Road, VIllage:Veraval (Shapar), Taluka Kotada Sangani",360024,Rajkot,IN,GJ,24ADAFS6874P1ZD,,
9919,SC-9280,"Survey No. 162, Plot No.-4,  S.I.D.C. Road, VIllage:Veraval (Shapar), Taluka Kotada Sangani",360024,Rajkot,IN,GJ,24ADAFS6874P1ZD,,
9020,SC-8479,"Jai Ganesh Vision, B-53 Wing, Shop No. 53, Akurdi",411035,Pune,IN,MH,27AAQPD9910L1Z8,,
9020,SC-8479,"Jai Ganesh Vision, B-53 Wing, Shop No. 53, Akurdi",411035,Pune,IN,MH,27AAQPD9910L1Z8,,
9358,SC-8806,"554, Budhwar Peth, Near Phadke Haud Chouk",411 002,Pune,IN,MH,27ARQPS1246P1ZX,,
9358,SC-8806,"554, Budhwar Peth, Near Phadke Haud Chouk",411 002,Pune,IN,MH,27ARQPS1246P1ZX,,
8845,SC-8317,"B/702, Sagar Tech Plaza, Andheri-Kurla Road, Saki Naka",400070,Mumbai,IN,MH,19AAACW2786Q1ZF,,
8845,SC-8317,"B/702, Sagar Tech Plaza, Andheri-Kurla Road, Saki Naka",400070,Mumbai,IN,MH,19AAACW2786Q1ZF,,
1633,146,"Signature Towers - 'A', 14th Floor, South City,National Highway No.8, Delhi - Jaipur Expy, Saini",122001,Gurugram,IN,HR,,,
1633,146,"Signature Towers - 'A', 14th Floor, South City,National Highway No.8, Delhi - Jaipur Expy, Saini",122001,Gurugram,IN,HR,,,
1857,246,"78, Biyagama Epz, Walgama",-,Malwana,IN,MH,,,
1857,246,"78, Biyagama Epz, Walgama",-,Malwana,IN,MH,,,
1322,45,"1St Floor, El-111, Ttc Industrial Area, Electronic Zone, MIDC Mahape",400710,Navi Mumbai,IN,MH,,,
1322,45,"1St Floor, El-111, Ttc Industrial Area, Electronic Zone, MIDC Mahape",400710,Navi Mumbai,IN,MH,,,
4626,1454,"40/1, Mohabewala Industrial Area,S.B.I Road,Saharanpur Highway, NH72A",248002,Dehradun,IN,UT,,,
4626,1454,"40/1, Mohabewala Industrial Area,S.B.I Road,Saharanpur Highway, NH72A",248002,Dehradun,IN,UT,,,
2592,890,Gate No.907/2/4 Sanaswadi Near Kalpesh Weight Bridge,412208,Pune,IN,MH,27AARFB5668E1Z2,,
2592,890,Gate No.907/2/4 Sanaswadi Near Kalpesh Weight Bridge,412208,Pune,IN,MH,27AARFB5668E1Z2,,
6419,1835,"22nd Floor, One Horizon Center, DLF Phase V, Golf Course Road, Sector 43",122003,Gurugram,IN,HR,,,
6419,1835,"22nd Floor, One Horizon Center, DLF Phase V, Golf Course Road, Sector 43",122003,Gurugram,IN,HR,,,
9406,SC-8317,"Wesman Center,  8 Mayfair Road",700019,Kolkata,IN,WB,19AAACW2786Q1ZF,,
9406,SC-8317,"Wesman Center,  8 Mayfair Road",700019,Kolkata,IN,WB,19AAACW2786Q1ZF,,
2044,355,"No. 10, PKM Road, Athipet",600058,Chennai,IN,TN,,,
2044,355,"No. 10, PKM Road, Athipet",600058,Chennai,IN,TN,,,
1149,461,"GB-28, High Street Corporate Center,  Thane Bhiwandi Road,  Thane (W)",400607,Thane,IN,MH,27AKKPS7110H1ZZ,,
1149,461,"GB-28, High Street Corporate Center,  Thane Bhiwandi Road,  Thane (W)",400607,Thane,IN,MH,27AKKPS7110H1ZZ,,
1859,461,"GB-28 High Street Corporate Center, Kapurbwadi Junction, Thane (W)",400607,Mumbai,IN,MH,,,
1859,461,"GB-28 High Street Corporate Center, Kapurbwadi Junction, Thane (W)",400607,Mumbai,IN,MH,,,
5263,1572,"No. 51, Bibijun Shop No. 16, Ground Floor, Nagdevi Street, Masjid",400003,Mumbai,IN,MH,27AAEPS3380H1ZI,,
5263,1572,"No. 51, Bibijun Shop No. 16, Ground Floor, Nagdevi Street, Masjid",400003,Mumbai,IN,MH,27AAEPS3380H1ZI,,
1861,247,"24-4-10, Harbour Road, Vada Street",530001,Visakhapatnam,IN,AP,,,
1861,247,"24-4-10, Harbour Road, Vada Street",530001,Visakhapatnam,IN,AP,,,
2079,581,"Building No. 10C, DLF Cyber City Phase I",122002,Gurgaon,IN,HR,06AAACA1614R1ZP,,
2079,581,"Building No. 10C, DLF Cyber City Phase I",122002,Gurgaon,IN,HR,06AAACA1614R1ZP,,
2080,581,"Village Karora, Tehsil Behror",301020,Alwar,IN,RJ,08AAACA1614R1ZL,,
2080,581,"Village Karora, Tehsil Behror",301020,Alwar,IN,RJ,08AAACA1614R1ZL,,
2601,891,"Plot No. T-22/PT, MIDC, Taloja Industrial Area, Raigad, Taloja",410208,Navi Mumbai,IN,MH,,,
2601,891,"Plot No. T-22/PT, MIDC, Taloja Industrial Area, Raigad, Taloja",410208,Navi Mumbai,IN,MH,,,
1323,46,"No V-45, Peenya Industrial Estate, II Stage 8th Main, 9th Ridge Road, Peenya Industrial Estate",560058,Bangalore,IN,KA,,,
1323,46,"No V-45, Peenya Industrial Estate, II Stage 8th Main, 9th Ridge Road, Peenya Industrial Estate",560058,Bangalore,IN,KA,,,
