category_legacy_id,product_legacy_id
1178,95731
930,95732
1166,95732
1178,95732
930,95733
1166,95733
1178,95733
930,95734
1166,95734
1178,95734
930,95735
1166,95735
1178,95735
930,95736
1166,95736
1178,95736
930,95737
1166,95737
1178,95737
930,95740
1166,95740
1178,95740
930,95742
1166,95742
1178,95742
930,95743
1166,95743
1178,95743
930,95744
1166,95744
1178,95744
930,95745
1166,95745
1178,95745
930,95746
1166,95746
1178,95746
930,95747
1166,95747
1178,95747
930,95748
1166,95748
1178,95748
930,95749
1166,95749
1178,95749
930,95751
1166,95751
1178,95751
930,95753
1166,95753
1178,95753
930,95755
1166,95755
1178,95755
930,95757
1166,95757
1178,95757
930,95759
1166,95759
1178,95759
930,95761
1166,95761
1178,95761
930,95763
1166,95763
1178,95763
930,95765
1166,95765
1178,95765
930,95766
1166,95766
1178,95766
930,95768
1166,95768
1178,95768
930,95769
1166,95769
1178,95769
930,95770
1166,95770
1178,95770
930,95771
1166,95771
1178,95771
930,95772
1166,95772
1178,95772
930,95773
1166,95773
1178,95773
930,95774
1166,95774
1178,95774
930,95775
1166,95775
1178,95775
930,95776
1166,95776
1178,95776
930,95777
1166,95777
1178,95777
930,95778
1166,95778
1178,95778
930,95779
1166,95779
1178,95779
930,95780
1166,95780
1178,95780
930,95781
1166,95781
1178,95781
930,95783
1166,95783
1178,95783
930,95785
1166,95785
1178,95785
930,95786
1166,95786
1178,95786
930,95787
1166,95787
1178,95787
1178,95807
930,95808
1206,95808
1210,95808
930,95809
1206,95809
1210,95809
930,95810
1206,95810
1210,95810
930,95811
1206,95811
1214,95811
930,95812
1206,95812
1214,95812
930,95813
1206,95813
1214,95813
1223,95814
930,95815
964,95815
965,95815
930,95816
964,95816
965,95816
930,95817
964,95817
965,95817
930,95818
964,95818
965,95818
930,95820
964,95820
965,95820
3595,95822
3657,95822
3658,95822
3595,95823
3657,95823
3658,95823
3595,95824
3657,95824
3658,95824
3595,95825
3657,95825
3658,95825
930,95827
939,95827
942,95827
930,95834
964,95834
967,95834
967,95835
967,95838
930,95840
956,95840
957,95840
930,95844
964,95844
969,95844
68,95846
69,95846
73,95846
3295,95847
3118,95850
4016,95851
366,95852
134,95854
1241,95855
1275,95855
3914,95855
193,95857
59,95858
2963,95859
3160,95859
3169,95859
2963,95860
3185,95860
3192,95860
2577,95862
521,95863
930,95865
3854,95865
3865,95865
1835,95866
2645,95867
331,95869
1228,95870
68,95873
91,95873
92,95873
2478,95874
2704,95874
2708,95874
1141,95875
545,95876
68,95877
91,95877
95,95877
4031,95878
586,95880
2478,95881
2572,95881
2599,95881
2542,95882
2963,95885
3286,95885
3300,95885
2765,95886
1241,95887
1327,95887
1329,95887
374,95888
2963,95890
3050,95890
3943,95890
3300,95891
1194,95892
1194,95893
2963,95894
3194,95894
3991,95894
2963,95895
3194,95895
3991,95895
43,95897
2650,95901
2478,95902
2627,95902
2650,95902
68,95903
91,95903
103,95903
2963,95905
3160,95905
3169,95905
2963,95906
3160,95906
3164,95906
2912,95907
2912,95908
530,95909
225,95910
3817,95910
3828,95910
2478,95911
2572,95911
2580,95911
2478,95912
2572,95912
2580,95912
3292,95913
2963,95914
3286,95914
3292,95914
386,95919
386,95920
227,95924
2963,95926
3194,95926
3196,95926
3196,95927
20,95928
43,95929
43,95930
1241,95933
1275,95933
3914,95933
1241,95934
1275,95934
3914,95934
1789,95935
1798,95935
4008,95935
1757,95940
3543,95941
3489,95942
3527,95942
3543,95942
3489,95943
3527,95943
3543,95943
246,95944
246,95945
246,95946
332,95948
225,95950
308,95950
327,95950
274,95951
274,95952
274,95953
225,95955
3817,95955
3823,95955
225,95956
3817,95956
3823,95956
1874,95960
2133,95960
3934,95960
603,95961
603,95962
603,95963
603,95964
2963,95965
3130,95965
3143,95965
2963,95966
3130,95966
3137,95966
2963,95967
3130,95967
3143,95967
3143,95968
2963,95969
3286,95969
3300,95969
3294,95970
2963,95971
3286,95971
3294,95971
2963,95972
3286,95972
3300,95972
3294,95973
1754,95974
1754,95976
3170,95978
3170,95979
3170,95980
2678,95982
2678,95983
2678,95984
2478,95985
2675,95985
