#,Date,Customer,Remarks,Due Date,Branch,Document Status,Document Total (FC),Document Total (SC),Document Status,Canceled,Total Discount,Total Discount (FC),Total Discount (SC),Ship To,Bill to,Applied WTax,Document Total,Tax Amount (SC),Project,Inside Sales Owner,
11410065,6 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4114.,6 Dec 18,Telangana,,0,"6,867.60",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,6867.6,1047.6,29289,Dipali Ghanvat,
11410064,6 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4118.,6 Dec 18,Telangana,,0,"59,485.27",Open,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,59485.27,9074.02,29444,Dipali Ghanvat,
11410063,6 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4120.,12 Dec 18,Telangana,,0,"29,452.80",Open,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,29452.8,4492.8,29518,Dipali Ghanvat,
11410062,6 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4127.,6 Dec 18,Telangana,,0,"88,182.10",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,88182.1,13451.5,29348,Dipali Ghanvat,
11410061,6 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4119.,7 Dec 18,Telangana,,0,"2,344.80",Open,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,2344.8,334.3,29267,Dipali Ghanvat,
11410060,4 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4047.,21 Nov 18,Telangana,,0,"1,21,183.06",Open,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,121183.06,18485.56,28767,Dipali Ghanvat,
11410059,3 Dec 18,Piramal Enterprises Ltd.,Based On Sales Quotations 4033.,24 Dec 18,Telangana,,0,"1,48,331.90",Open,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,148331.90,22626.9,29455,Dipali Ghanvat,
11410058,29 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3959.,27 Dec 18,Telangana,,0,"1,00,612.70",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,100612.70,15347.7,29263,Dipali Ghanvat,
11410057,29 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3967.,13 Dec 18,Telangana,,0,"11,341.99",Open,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,11341.99,1730.14,29265,Dipali Ghanvat,
11410056,29 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3942.,30 Nov 18,Telangana,,0,"5,19,863.16",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,519863.16,79301.16,29212,Dipali Ghanvat,
