manufacturer_id,name,image,identifier,website,description,is_featured,status,option_id,meta_keywords,meta_description,file,brand_icon,featured_order,sap_code
3827,"WHITE MARBLE BASICS",white-marble-basics.jpg,white-marble-basics,NULL,NULL,0,0,3626,,,b:0;,white-marble-basics.jpg,0,NULL
3828,"WHITE MARBLE BRECK",white-marble.jpg,white-marble-breck,NULL,NULL,0,0,3627,,,b:0;,white-marble.jpg,0,NULL
3829,"WHITE MARBLE TONE",white-marble-tone-1.jpg,white-marble-tone,NULL,NULL,0,0,3628,,,b:0;,,0,NULL
3830,WHITE-RODGERS,NULL,white-rodgers,NULL,NULL,0,1,3629,,,,,NULL,NULL
3831,WHITESIDE,whiteside.jpg,whiteside,NULL,NULL,0,1,3630,,,b:0;,whiteside.jpg,0,NULL
3832,"WHITNEY TOOL",NULL,whitney-tool,NULL,NULL,0,1,3631,,,,,NULL,NULL
3833,WHIZARD,NULL,whizard,NULL,NULL,0,0,3632,,,,,NULL,NULL
3834,WHIZZER,whizzer.jpg,whizzer,NULL,NULL,0,1,3633,,,b:0;,whizzer.jpg,0,NULL
3835,"WIDIA GTD",widia-gtd.jpg,widia-gtd,NULL,NULL,0,1,3634,,,b:0;,,0,NULL
3836,"WIDIA METAL REMOVAL",widia.jpg,widia-metal-removal,NULL,NULL,0,1,3635,,,b:0;,widia.jpg,0,NULL
3837,"WIDIA METCUT",NULL,widia-metcut,NULL,NULL,0,0,3636,,,,,NULL,NULL
3838,WIEGMANN,wiegmann.jpg,wiegmann,NULL,NULL,0,1,3637,,,b:0;,wiegmann.jpg,0,NULL
3839,WIHA,wiha-1.jpg,wiha,NULL,NULL,0,1,3638,,,b:0;,,0,174
3840,"WIHA TOOLS",wiha-tools.jpg,wiha-tools,NULL,NULL,0,1,3639,,,b:0;,wiha-tools.jpg,0,NULL
3841,WILKERSON,wilkerson.jpg,wilkerson,NULL,NULL,0,1,3640,,,b:0;,wilkerson.jpg,0,NULL
3842,WILKINS,wilkins.jpg,wilkins,NULL,NULL,0,1,3641,,,b:0;,wilkins.jpg,0,NULL
3843,"WILLI HAHN",willi-hahn.jpg,willi-hahn,NULL,NULL,0,1,3642,,,b:0;,,0,NULL
3844,WILLSON,willson.jpg,willson,NULL,NULL,0,1,3643,,,b:0;,willson.jpg,0,NULL
3845,WILTON,wilton.jpg,wilton,NULL,NULL,0,1,3644,,,b:0;,wilton.jpg,0,NULL
3846,"WINCH LINE",winch-line.jpg,winch-line,NULL,NULL,0,1,3645,,,b:0;,winch-line.jpg,0,NULL
3847,WINCHESTER,winchester.jpg,winchester,NULL,NULL,0,1,3646,,,b:0;,winchester.jpg,0,NULL
3848,WINCUP,wincup-1.jpg,wincup,NULL,NULL,0,1,3647,,,b:0;,,0,NULL
3849,"WIND CATCHER",wind-catcher.jpg,wind-catcher,NULL,NULL,0,1,3648,,,b:0;,,0,NULL
3850,WINGITS,wingits.jpg,wingits,NULL,NULL,0,1,3649,,,b:0;,wingits.jpg,0,NULL
3851,"WINLAND ELECTRONICS",winland-electronics.jpg,winland-electronics,NULL,NULL,0,1,3650,,,b:0;,winland-electronics.jpg,0,NULL
3852,WINSMITH,NULL,winsmith,NULL,NULL,0,0,3651,,,,,NULL,NULL
3853,"WINTER WALKING",winter-walking.jpg,winter-walking,NULL,NULL,0,1,3652,,,b:0;,winter-walking.jpg,0,NULL
3854,WINTER-TUFF,winter-tuff.jpg,winter-tuff,NULL,NULL,0,1,3654,,,b:0;,winter-tuff.jpg,0,NULL
3855,WINTERS,winters.jpg,winters,NULL,NULL,0,1,3653,,,b:0;,,0,1360
3856,WIPRO,NULL,wipro,NULL,NULL,0,0,284469,,,,,NULL,1249
3857,WIRECRAFTERS,wirecrafters.jpg,wirecrafters,NULL,NULL,0,1,3655,,,b:0;,,0,NULL
3858,WIREMOLD,wiremold.jpg,wiremold,NULL,NULL,0,1,3656,,,b:0;,wiremold.jpg,0,NULL
3859,WIREWAY/HUSKY,wireway-husky.jpg,wireway-husky,NULL,NULL,0,1,3657,,,b:0;,wireway-husky.jpg,0,NULL
3860,WISCO,wisco.jpg,wisco,NULL,NULL,0,1,3658,,,b:0;,wisco.jpg,0,NULL
3861,WISS,wiss.jpg,wiss,NULL,NULL,0,1,3659,,,b:0;,,0,NULL
3862,WITTE,witte.jpg,witte,NULL,NULL,0,1,3660,,,b:0;,witte.jpg,0,NULL
