Code,Manufacturer Name,Data Source,User Signature
686,RACINE,O,1
2153,SDC,O,1
688,MIDAS,O,1
689,TSI VELOCICAC,O,1
690,MCMASTER,O,1
691,HUADE,O,1
692,PHOENIX CONTACT,O,1
693,LUXOR MULTI COLOR,O,1
694,APT,O,1
695,EDWARDS,O,1
696,STAHLWILLE,O,1
697,PARKER TRANSAIR,O,1
698,THOMAS & BETTS,O,1
699,MAG-LITE,O,1
700,CRYSTAL/SPEEDEX,O,1
701,MK,O,1
702,LAG,O,1
703,I/A,O,1
704,TRIDENT,O,1
705,HINDUSTAN,O,1
706,VU LUXURY TELEViSION,O,1
707,KRANTI,O,1
708,FLOTECH,O,1
709,MTL,O,1
710,DCORE/GOLDLEAF/OMAX/EQUIVALENT,O,1
711,ANIL,O,1
712,ITRON,O,1
713,ROTODEL,O,1
714,Sonit,O,1
715,FERRERO,O,1
716,SPS,O,1
717,LIFTMAN,O,1
718,AEOSS,O,1
719,TERABYTE,O,1
720,DATA FORTH,O,1
721,TAEGU TEC,O,1
722,HELI INSERT,O,1
723,KDS,O,1
724,MI,O,1
725,NEWAGE,O,1
726,AHUJA,O,1
727,OMAX,O,1
728,RSG,O,1
729,SRS,O,1
730,SOLO,O,1
731,TECSIS,O,1
732,VARTECH,O,1
733,SIEVERT,O,1
734,KINGSTON,O,1
735,XUTIAN,O,1
736,SK,O,1
737,ZINKO,O,1
738,GLORY/KOOPEE,O,1
739,CROMPTON GREAVES,O,1
740,ITEK,O,1
741,TAG,O,1
742,MOSERBAER,O,1
743,ITECH,O,1
744,SANSUI,O,1
745,TOKYO-GAS,O,1
746,ESD,O,1
747,ACCENT,O,1
748,ROCOL UK,O,1
749,BAMBALIO,O,1
750,RELI POWER,O,1
751,KPT SHAKTI,O,1
752,ST.JOHN'S,O,1
753,FRIEDRICH,O,1
754,UNILAMP,O,1
755,ESAW,O,1
756,WAGO,O,1
757,APS LABS,O,1
758,GEFRAN,O,1
759,SUSHMA,O,1
760,AIC SWITZERLAND,O,1
761,TAISEI,O,1
762,APPLIED,O,1
763,NAVNEET,O,1
764,INTIME,O,1
765,BENTLY NEVADA,O,1
767,FORBES MARSHALL,O,1
768,SCHOLAR,O,1
769,NAMIBIND,O,1
770,NORGREN,O,1
771,INDO ASIAN,O,1
772,BELDEN,O,1
773,SIMONDS,O,1
774,BIRLA,O,1
775,GENERIC E-ONE,O,1
776,MONKEY 555,O,1
777,FRIEDRICH GERMANY,O,1
778,ENCARDIO-RITE,O,1
779,Outokumpu,O,1
780,RADICON,O,1
781,TECHNOSYS EQUIPMENT,O,1
782,MICROMAX,O,1
783,CP PLUS,O,1
784,FISHER RESEARCH,O,1
785,ASIAN/JINDAL/SURYAPRAKASH/TATA,O,1
786,ATN Binox,O,1
787,MGMT,O,1
788,RSK JAPAN,O,1
789,LP,O,1
790,UNITED INSTRUMENTS,O,1
791,JUST MOBILE,O,1
792,CONICAL,O,1
793,WATERCOP,O,1
794,IOGEAR,O,1
795,CARBORUNDUM,O,1
796,ANTIVA,O,1
797,DUROWIPE,O,1
798,PHOTOFAST,O,1
799,ELBA,O,1
800,CASEPOWER,O,1
801,SCHEVARAN,O,1
802,PLASTO BAG,O,1
803,POWER SUPPORT,O,1
804,GIC,O,1
805,Watson-Marlow,O,1
806,INA,O,1
807,ENCADIO-RITE,O,1
808,ORCHID,O,1
809,RAMSON,O,1
810,MOXX,O,1
811,ZEEL,O,1
812,ODDY,O,1
813,NOTIFIER,O,1
814,FEVI STICK / OFFICE MATE,O,1
815,WORLDTEK,O,1
816,AAAG,O,1
817,EWAC,O,1
818,PRO'SKIT,O,1
819,JK TOOLS,O,1
820,ADOR FONTECH,O,1
821,MAYSER,O,1
822,CROSSMAN,O,1
823,FLEX-CORE,O,1
824,MANGALAM,O,1
825,ALBRIGHT,O,1
826,POWER BAT,O,1
827,BOSCH  DREMEL,O,1
828,MOLYGRAPH,O,1
829,INVITROGEN,O,1
830,PHANTOM,O,1
831,TED PELLA,O,1
832,VCC,O,1
833,MANCO,O,1
834,AMBETRONICS,O,1
835,PIERRE CARDIN,O,1
836,TANOTIS,O,1
837,SPACES,O,1
838,PASLODE,O,1
839,PHOENIX,O,1
840,PROLITE,O,1
841,GAMRY,O,1
842,MICROSOFT,O,1
843,EASY-LASER,O,1
844,ENDO,O,1
845,BELZONA,O,1
846,WASHMATIC,O,1
847,ELGi,O,1
848,BIPICO,O,1
849,ACCUD,O,1
850,WILLIAMS,O,1
851,EURONICS,O,1
852,LOVIBOND,O,1
853,ELECTRONICS,O,1
854,JETECH,O,1
855,I.T,O,1
856,CONA,O,1
857,PRESTO,O,1
858,DEFIBTECH,O,1
859,ONO SOKKI,O,1
860,ZEPHYR,O,1
861,MILTON ROY,O,1
862,PEPPERL  FUCHS,O,1
863,STAR TRACE,O,1
864,SIERRA,O,1
865,DELTA OHM,O,1
866,PHILIPS HS1,O,1
867,BLACKMAGIC,O,1
868,HM,O,1
869,BUSHNELL,O,1
870,SIIN,O,1
871,SANO MEDICAL,O,1
872,NIRLON,O,1
873,IMPORTED,O,1
874,KUNDAN,O,1
875,GLOBAL,O,1
876,NETCO,O,1
877,WEICO,O,1
878,V GUARD,O,1
879,ELECTRO PNEUMATICS,O,1
880,GAUTAM,O,1
881,BOARDRITE,O,1
882,TECHNIC,O,1
884,NATARAJ,O,1
885,APZEM,O,1
886,ALLEN COOPER,O,1
887,BLACK BOX,O,1
888,BACHARACH,O,1
889,TENMA,O,1
890,GOCHANGE,O,1
891,SUMIP,O,1
892,MARBOLIN,O,1
893,AKRO-MILS,O,1
894,VEGAS,O,1
895,MORPEN,O,1
896,PixeLINK,O,1
897,KAESER,O,1
898,ASUS,O,1
899,ATR,O,1
900,CROSS,O,1
901,EMSEAL,O,1
902,QUANTUM,O,1
903,ECO NIRVANA,O,1
904,COOLER MASTER,O,1
905,FUJIFILM,O,1
906,VIGHNAHARTA,O,1
907,YALE,O,1
908,MASS,O,1
909,RAYTECH,O,1
910,SITRANS,O,1
911,V MAX,O,1
912,REIKU,O,1
913,VOGEL,O,1
914,LUTHRA,O,1
915,PCB PIEZOTRONICS,O,1
916,OPPLE,O,1
917,BONFIGLIOLI,O,1
918,MINIMAX,O,1
919,DYNAROLL,O,1
920,EQUAL,O,1
921,OPTIMUM,O,1
922,MARATHON,O,1
923,HINDUSTAN ELECTRIC MOTOR,O,1
924,BEAMEX,O,1
925,PROMIVAC,O,1
926,FITOK,O,1
927,HAYOUE,O,1
928,INDO ELECTRICALS,O,1
929,DRAGER,O,1
930,NISHANT,O,1
931,LEROY SOMER,O,1
932,PIUSI,O,1
933,GREYLINE,O,1
934,MACNAUGHT,O,1
935,POLYSCIENCE,O,1
936,SAMURAI,O,1
937,SIGMA ALDRICH,O,1
938,CARLING TECHNOLOGIES,O,1
939,VICTORINOX,O,1
940,SMITH,O,1
941,WYLER,O,1
942,DUPLOMATIC,O,1
943,ASPEE,O,1
944,AVG AUTOMATION,O,1
945,SEKI,O,1
946,TUFCRIMP,O,1
947,"PACIFIC HANDY CUTTER, INC",O,1
948,SECOR,O,1
949,GREAVES,O,1
950,WTW,O,1
951,JB INDUSTRIES,O,1
952,EUTECH,O,1
953,GEM,O,1
954,APS LIFETECH,O,1
955,SCAIME,O,1
956,OLFLEX,O,1
957,APSARA,O,1
958,ROYALFIL,O,1
959,SEALITE,O,1
960,THOMAS BAKER,O,1
961,SEMIKRON,O,1
962,ALFAA UV,O,1
963,SANPAR,O,1
964,LIT,O,1
965,NIDEK,O,1
966,LOBA,O,1
967,ELCOTEST,O,1
968,ACC,O,1
969,ARMOR,O,1
970,MISLENEOUS,O,1
971,MICROFLEX,O,1
972,ALLWEILER,O,1
973,NEDERMAN,O,1
974,POLYMAX,O,1
975,SOVPLYM,O,1
976,HANSIKA,O,1
977,JACKSON,O,1
978,JABBALS,O,1
979,HARDWYN,O,1
980,MITUTOYO JAPAN,O,1
981,LEISTER,O,1
982,QUALITY MASTER,O,1
983,ORBITAL,O,1
984,DORMA,O,1
985,HRIDOL,O,1
986,THERMO SCIENTIFIC,O,1
987,ASIAN PAINT,O,1
988,GOOGLE,O,1
989,JOINT,O,1
990,LONGRICH,O,1
991,RICON,O,1
992,VEXTA (ST),O,1
993,CITIZEN,O,1
994,EXIDE POWERSAFE,O,1
995,TATA BP,O,1
996,UNIKLINGER,O,1
997,OLAER BY PARKER,O,1
998,ICON,O,1
999,TECHNOVA,O,1
1000,JENSEN,O,1
1001,MOSIL,O,1
1002,THERMON,O,1
1003,KITO,O,1
1004,MECO -G,O,1
1005,CHATILLON,O,1
1006,SIRCLE,O,1
1007,HDK,O,1
1008,KLEIN TOOLS,O,1
1009,ATOMTEX,O,1
1010,MAGLITE,O,1
1011,LUXRITE,O,1
1012,CAMLIN/LUXOR,O,1
1013,ROHM,O,1
1014,LEDOS,O,1
1015,KRAMER,O,1
1016,AQUASOL,O,1
1017,EPE,O,1
1018,LEATHERMAN,O,1
1019,HARTMANN-LAMMLE,O,1
1020,ALPHA WIRE,O,1
1021,DRAPER,O,1
1022,ULTRA TOUCH,O,1
1023,SHARPEX,O,1
1024,WEISS,O,1
1025,INDOMAX,O,1
1026,KTR ROTEX,O,1
1027,SKIDCARE,O,1
1028,KEL,O,1
1029,AIRPEL,O,1
1030,KOP-FLEX,O,1
1031,MOBIFLEX,O,1
1032,MERV,O,1
1033,ULTRATECH,O,1
1034,ACCUPLUS,O,1
1035,SANT VALVES,O,1
1036,BCH,O,1
1037,GT LINE,O,1
1038,AUDCO,O,1
1039,EXIDE SF SONIC,O,1
1040,PRESTAN,O,1
1041,KANSUEE,O,1
1042,POLYLAB,O,1
1043,MAYFAIR,O,1
1044,TEXCARE,O,1
1045,REMA,O,1
1046,GENIE,O,1
1047,KOBRA,O,1
1048,EDISON,O,1
1049,VANGUARD,O,1
1050,FILMCITY,O,1
1051,RUSTLICK,O,1
