Inquiry Number,SO #,SUM of Selling Price (as per SO / AR Invoice),SUM of Gross Total Selling
17057,10200154,22309,24986
17058,10210101,198381,234090
17061,2003148,700,826
17062,2003150,411,485
17063,2003151,135125,159448
17068,10210115,14878,14878
17070,2003351,63158,74526
17081,2003152,694,819
17082,2003153,694,819
17083,2003154,694,819
17084,2003155,700,826
17085,2003156,846,998
17086,10200119,10212,12050
17087,2003179,39050,46079
17091,2003166,1251151,1251151
17095,2003292,49284,58155
17101,2003187,5520,7066
17102,2003186,5440,6420
17119,2003188,5420,6396
17119,2003667,3420,3591
17121,2003182,14515,17127
17123,2003254,90300,106554
17125,2003189,3420,3591
17125,2003668,3420,3591
17130,2003482,41652,53315
17131,2003334,13206,15583
17134,2003200,320273,377922
17136,2003238,202527,212653
17137,2003274,13579,15208
17138,2003233,3460,4083
17138,2003236,3460,4083
17139,2003191,322,380
17140,2003192,347,409
17141,2003193,263,310
17142,2003194,846,998
17145,10210030,292701,345387
17146,2003230,16999,17849
17147,2003326,5340,6301
17147,2003714,5340,6301
17151,2003487,5157,6085
17153,2003492,70000,82600
17160,2003202,377,445
17164,2003203,389,459
17165,2003289,80001,94401
17165,2003672,80001,94401
17167,2003496,6500,7670
17169,2003528,36520,43094
17172,2003216,56250,63000
17173,10200019,13269,15657
17174,2003270,1682,2153
17177,2003222,220488,220488
17181,2003329,25890,30550
17181,2003675,318195,375470
17183,2003402,20700,24426
17184,2003308,804834,951048
17185,2003211,620,732
17186,2003212,1377,1625
17187,2003213,620,732
17188,2003214,263,310
17189,2003218,377,445
17190,2003219,846,998
17191,2003220,694,819
17192,2003221,694,819
17202,2003223,694,819
17203,2003224,377,445
17204,2003225,644,760
17208,2003235,2076,2450
17211,2003278,852436,1005874
17213,2003366,19695,23240
17215,2003242,96465,113829
17220,2003244,1241,1464
17221,2003245,620,732
17222,2003246,331,390
17227,2003247,2288,2700
17228,2003248,846,998
17230,2003249,694,819
17231,2003250,694,819
17234,2003251,1314,1550
17237,10200175,3218,3790
17239,2003413,3633,4287
17245,2003358,1909,2444
17248,10200077,50380,59448
17249,2003293,9318,10995
17251,2003258,620,732
17252,2003259,764,901
17253,2003260,620,732
17254,2003261,300,354
17255,2003262,229,270
17256,2003263,1111,1311
17257,2003264,1050,1239
17258,2003265,620,732
17259,2003266,642,758
17260,2003267,389,459
17261,2003268,694,819
17269,2003272,262,309
17272,2003332,3984,4701
17273,2003388,61624,72717
17279,2003312,7236,8538
17280,2003291,8304,9799
17281,2003279,3000,3150
17282,2003314,50899,60061
17282,99999060,32756,38652
17284,2003302,26588,31374
17288,2003294,529,529
17290,2003689,27538,32495
17291,2003290,5956,6671
17294,2003282,1377,1625
17295,2003283,620,732
17296,2003284,229,270
17298,2003285,503,594
17299,2003286,877,1035
17304,2003299,400600,448672
17305,10200074,24304,28181
17309,2003347,112750,133045
17319,2003295,380,448
17321,2003497,80000,84000
17329,2003298,16250,19175
17336,2003359,2076,2450
17337,2003519,21052,24841
17346,2003303,11632,13726
17347,2003304,6779,7999
17348,2003305,1050,1239
17349,2003306,6779,7999
17350,2003307,229,270
17352,10710001,2986684,3524287
17355,10610041,3231580,3813264
17358,10300025,144999,171099
17373,2003310,431,509
17374,2003421,216021,254904
17377,2003313,6840,7182
17382,2003315,1095,1292
17383,2003316,229,270
17385,2003325,14688,17332
17395,2003318,586,692
17396,2003319,551,650
17398,2003320,347,409
17399,2003321,377,445
17400,2003322,2288,2700
17401,2003323,389,459
17403,2003324,561,662
17407,2003354,91410,107864
17413,2003333,4410,5204
17419,10300009,12666,14946
17425,10610134,3282370,3873197
17432,10210461,280612,329922
17433,2003565,10938,12906
17435,2003361,24690,29134
17436,99999054,1600,1888
17440,2003378,75240,88783
17440,2003681,23760,28037
17444,2003336,1882,2221
17446,2003337,3254,3839
17447,2003338,1882,2221
17448,2003339,803,948
17450,2003341,9748,11502
17451,2003342,300,354
17453,2003343,377,445
17455,2003369,24030,28355
17455,99999059,29970,35365
17457,10200036,5847,6899
17458,2003483,49787,52277
17469,2003348,389,459
17470,2003349,294,347
17471,2003350,322,380
17474,2003411,124634,147975
17476,2003353,198956,234768
17478,2003396,32416,38251
17484,2003489,186925,209356
17487,10300058,6500,7670
17488,2003688,368,435
17489,10300013,4380,4906
17493,2003363,2076,2450
17498,10400005,49934,58922
17501,10200007,723383,723383
17502,2003364,517,610
17504,10200149,8069,9521
17507,10210034,7405,9478
17513,10200039,25790,30432
17516,2003512,45220,53360
17521,2003374,389,459
17522,2003375,347,409
17524,2003377,301,355
17530,2003386,6827,8056
17532,10210391,25013,29869
17540,2003398,2076,2450
17546,10210053,2730974,3222549
17549,2003389,325,383
17550,2003390,325,383
17551,2003391,325,383
17552,2003392,344,406
17553,2003393,803,948
17559,2003690,1384,1633
17560,10200144,8411,9925
17570,10200084,16891,19931
17574,2003403,596356,596356
17576,10200082,43687,51550
17579,10200051,33940,40049
17582,2003426,67830,71232
17582,99999057,13090,13745
17589,10200096,36800,43424
17592,10200008,102696,121181
17593,2003404,2076,2450
17594,10200029,84210,99368
17595,10300016,23895,28196
17598,10610002,2857,3657
17599,2003405,614,724
17600,2003406,614,724
17601,2003407,614,724
17602,2003408,614,724
17605,2003409,322,380
17608,10200183,169474,199979
17610,2003503,23830,28119
17619,2003414,149000,175820
17621,10200047,10332,12191
17623,10200046,36737,43350
17624,10210048,166092,195989
17625,10200146,2354,2773
17630,10200040,315000,371700
17635,2003416,6779,7999
17636,2003417,764,901
17637,2003418,614,724
17639,2003420,614,724
17643,2003425,4637913,5472737
17644,2003478,2076,2450
17646,10200181,82822,97730
17652,2003422,377,445
17653,10200087,3283,3874
17654,10200111,20890,24650
17656,10200092,13861,16357
17661,2003427,614,724
17662,2003428,2420,2856
17663,2003429,411,485
17664,2003430,369,435
17665,2003431,411,485
17666,2003432,694,819
17667,2003433,551,650
17668,2003434,2288,2700
17669,2003435,694,819
17670,2003436,2288,2700
17671,2003437,377,445
17672,2003438,694,819
17673,2003439,377,445
17674,2003440,389,459
17675,2003441,347,409
17676,2003442,347,409
17677,2003443,347,409
17678,2003444,377,445
17679,2003445,551,650
17680,2003446,694,819
17681,2003447,252,297
17682,2003448,700,826
17683,2003449,2288,2700
17684,2003450,693,818
17685,2003451,422,498
17686,2003452,347,409
17687,2003453,252,297
17688,2003454,466,550
17689,2003455,377,445
17690,2003456,347,409
17691,2003457,322,380
17692,2003458,693,818
17694,2003459,389,459
17695,2003460,347,409
17696,2003461,377,445
17697,2003462,322,380
17698,2003463,377,445
17699,2003464,2288,2700
17700,2003465,551,650
17701,2003466,389,459
17702,2003467,322,380
17703,2003468,755,891
17704,2003469,877,1035
17705,2003470,241,284
17706,2003471,322,380
17707,2003472,258,305
17711,2003473,644,760
17712,2003474,551,650
17713,2003475,322,380
17715,2003477,45950,54221
17721,2003564,347882,411285
17721,99999051,7560,8921
17723,2003484,45000,50400
17727,2003488,60000,70800
17731,2003485,1991,2349
17732,2003486,13558,15998
17738,10200027,128586,128586
17742,10200131,258718,331160
17745,2003550,91590,99010
17745,99999053,104775,117348
17748,10200016,23368,26172
17752,10300029,24931,30523
17755,2003508,1500,1575
17755,99999055,18000,21240
17758,2003558,36842,43474
17759,10400006,3460,4083
17763,2003498,214,253
17764,2003499,250,295
17765,2003500,325,383
17766,2003501,974,1149
17767,2003502,325,383
17768,10200125,2187,2581
17769,2003516,13334,15734
17770,2003515,9000,10080
17771,10200038,35373,41740
17775,10300019,33904,43397
17777,10300028,16125,19028
17783,2003510,2288,2700
17785,2003527,2076,2450
17787,2003513,22950,27081
17789,2003520,18356,21661
17799,10210027,107474,126520
17801,2003530,290000,342200
17804,2003526,2076,2450
17805,2003521,214,253
17806,2003522,1103,1302
17807,2003523,325,383
17808,10200014,984474,1161679
17810,2003524,3327,3926
17811,2003525,694,819
17816,10200004,30185,35618
17823,2003531,414,489
17824,2003532,372,439
17825,2003533,347,409
17826,2003534,389,459
17827,10200081,28500,33630
17828,2003535,7300,8944
17833,2003537,193139,227904
17834,10610017,114052,134581
17839,10200002,6300,7434
17845,10210922,103650,132672
17848,210210035,107,126
17849,2003540,214,253
17850,2003541,429,506
17851,2003542,250,295
17852,2003543,107,126
17853,2003544,250,295
17854,2003545,250,295
17855,2003546,614,724
17856,2003547,764,901
17857,2003548,614,724
17860,10300011,3800,3990
17870,2003554,389,459
17871,2003555,372,439
17872,2003556,694,819
17873,2003557,694,819
17875,10200030,75405,88978
17881,10200042,6250,7375
17883,10200135,16500,21120
17886,10300030,34609,38584
17887,2003559,4076,4810
17889,10200015,71840,84771
17893,10210232,40925,40925
17897,10200196,80905,95468
17898,10210026,173944,205254
17899,99999001,4210,5358
17902,2003566,614,724
17903,2003567,803,948
17904,2003568,877,1035
17907,2003569,385,454
17908,2003570,377,445
17909,2003571,620,732
17910,2003572,877,1035
17911,2003573,551,650
17912,2003574,377,445
17913,2003575,2288,2700
17914,2003576,517,610
17915,2003577,389,459
17916,2003578,347,409
17917,2003579,1111,1311
17918,2003580,322,380
17919,2003581,322,380
17920,2003582,420,495
17921,2003583,551,650
17922,2003584,419,495
17923,2003585,347,409
17924,2003586,551,650
17925,2003587,280,330
17926,2003588,6779,7999
17927,2003589,214,253
17928,2003590,325,384
17933,10300003,10667,13654
17934,10300017,996,1275
17940,10210007,19467,22971
17945,10200028,6118,7219
17958,10200001,2500,2950
17964,10300018,47096,55573
17965,10200095,3168,3548
17967,10200153,43761,51638
17973,10300002,10228,13092
17979,10200060,8157,9626
17982,10300006,421933,497881
17982,99999044,205527,242522
17991,10300021,388000,457840
17999,10200013,4620,5452
18008,10210164,37760,37760
18011,10210121,377000,444860
18012,10200049,56757,66973
18016,10300004,4800,5664
18017,10300023,315275,372025
18019,10300005,92700,109386
18019,99999045,455078,536992
18020,10200168,1989,1989
18026,10200128,8421,9937
18027,10200159,150000,177000
18028,10200018,1254,1480
18037,10400007,4200,4956
18038,10400009,12500,14750
18038,10910027,7500,8850
18039,10300007,12780,15080
18039,99999043,841350,992793
18040,10200056,2304,2719
18044,10200044,16526,19501
18063,10200094,10117,11938
18064,10300053,22832,26459
18083,10200134,143053,168803
18086,10210033,56212,66330
18088,10200182,18982,22398
18089,10210083,84210,94315
18090,10200053,12086,12690
18098,10400001,2076,2450
18111,10300012,3800,4484
18111,99999041,2075,2449
18123,10200048,97279,114789
18125,10300015,7425,8762
18125,99999040,9075,10709
18126,10200035,20125,21131
18131,10400004,692,817
18139,10300041,18600,23808
18147,10300014,16000,18880
18152,10400003,692,817
18154,10210036,40337,51631
18156,10200071,17769,20968
18157,10400002,692,817
18159,10200118,3525,4160
18162,10200112,45000,53100
18167,10200123,5230,5492
18171,10200067,3383,3992
18172,10200088,995,1174
18175,10200133,3090,3646
18179,10200213,15789,18631
18186,10200204,104026,116653
18186,99999022,1067,1195
18188,10200122,6000,7080
18189,10200203,2416,2901
18189,99999023,587,657
18193,10200101,242000,285560
18193,99999090,66670,78671
18197,10200224,2901073,3423266
18199,10300066,1710,1796
18205,10210255,183380,216388
18207,10300061,13000,13650
18213,99999111,1974,2329
18218,10300022,8000,9440
18218,99999039,15600,17420
18221,10200076,9546,11265
18224,10300024,8143,9608
18224,99999116,19200,22656
18225,10200069,24000,25200
18236,10400017,9374,11062
18244,10210149,31444,37103
18245,10210014,3016,3559
18246,10200157,76696,90501
18248,10200085,6633,7815
18249,10200064,28486,33613
18250,10200106,27414,32213
18252,10200066,11962,14115
18257,10300033,273318,322515
18260,10200178,31475,37141
18261,10210045,265460,313243
18262,10200068,59700,70446
18272,10300051,11671,13771
18274,10200078,35594,42001
18278,10200070,18000,21240
18282,10200121,500,590
18285,10200090,2138500,2523430
18287,10200239,17446,20586
18290,10210040,36632,43226
18291,10400008,2076,2450
18295,10200156,293452,346273
18297,10610032,43200,50976
18304,10200097,7449,8790
18305,10200197,81200,95816
18311,10300027,5534,6530
18323,10300026,2200,2596
18323,99999033,14300,16874
18333,10400013,2076,2450
18337,10400011,2076,2450
18338,10400012,2076,2450
18339,10400010,2076,2450
18352,10300031,69600,82128
18352,10300052,10800,12744
18352,10300067,28800,33984
18352,10610090,24000,28320
18352,99999026,22800,26904
18353,10400014,2076,2450
18355,10300047,2890,3699
18356,10200099,22341,22341
18360,10300081,4360,5145
18362,10400015,2076,2450
18363,10610059,160000,188800
18365,10210008,25476,32609
18366,10200107,6142,7248
18370,10200103,312728,369019
18371,10210271,2401,2833
18373,10610044,642857,758571
18374,10610046,642857,758571
18375,10610045,642857,758571
18376,10610136,642857,758571
18377,10610051,642857,758571
18378,10710002,642857,758571
18379,10610080,642857,758571
18382,10200120,183750,216825
18387,10300077,82995,97934
18389,10200100,60000,70800
18394,10210011,37895,44716
18395,10200108,1188,1520
18400,10210032,21520,24297
18410,10300036,28250,33044
18411,10400019,19840,23412
18412,10300032,50850,60003
18415,10400022,129367,144891
18416,10211443,7035,8302
18417,10300071,4770,5629
18417,99999024,9540,11257
18419,10210251,30816,36171
18420,10200174,2302,2716
18421,10300059,15838,18450
18422,10200137,276000,325680
18423,10200126,1636,1930
18424,10200205,1520,1702
18424,99999021,3634,4070
18425,10200110,15504,18295
18427,10200109,83340,98341
18428,10210218,13040,13040
18429,10200206,3382,3794
18429,99999020,347,409
18433,10200116,101915,120260
18436,10300034,30710,32246
18436,99999030,52290,54905
18437,10300035,2506,2957
18442,10200184,85106,100425
18443,10200113,21196,23740
18446,10200219,12911,15235
18447,10200114,8740,9789
18450,10300042,1064,1362
18452,10300038,3915,4620
18453,10300037,52000,61360
18453,99999029,348000,410640
18456,10210031,51845,57327
18461,10210025,40213,42223
18465,10300048,438,459
18465,10610560,2625,2940
18465,99999089,97290,102550
18467,10200127,11262,12613
18468,10210208,63700,63700
18470,10210057,360719,425648
18471,10210006,10556,10556
18479,10210123,4260,5027
18482,10200166,10372,10372
18484,10300043,16000,20480
18488,10211191,15372,18139
18489,10200130,18000,21240
18496,10300044,2760,3533
18498,10200192,59736,70488
18502,10610197,1890,2230
18503,10210086,203929,240636
18509,10300045,7125,7481
18510,10200179,19016,22439
18515,10210062,60950,69635
18517,10300060,43050,50799
18518,10200136,45000,50400
18519,10300056,7620,8534
18522,10300079,13548,15987
18527,10200186,3735,4407
18528,10200235,35022,44828
18530,10300054,18567,21308
18532,10210037,45074,53187
18538,10300046,2400,2832
18544,10710004,38539,45476
18545,10210081,4200,4956
18547,10200200,7181,9192
18549,10610156,63020,74364
18555,10300049,72000,84960
18556,10200142,2821,3329
18562,10200227,4410,5204
18563,10200191,167750,197945
18565,10200165,11450,13511
18571,10200167,1800,2124
18572,10300063,7950,9381
18581,10200187,7016,8278
18583,10210067,42990,50728
18586,10300057,16999,17849
18588,10200139,1112424,1312660
18589,10210015,5252,5252
18590,10200143,291141,326078
18591,10400021,2076,2450
18592,10300055,167600,197768
18594,10210186,6324,6324
18600,10210001,17834,21044
18602,10200220,43500,43500
18606,10200164,20579,24283
18616,10210404,92826,109535
18620,10200201,48000,56640
18626,10210357,238868,281864
18628,10210017,13800,16284
18629,10610030,83162,98131
18634,10200161,82894,97815
18635,10210018,3100386,3658455
18637,10200180,8052,9501
18642,10210124,87680,103462
18643,10210452,288239,340122
18645,10610008,658,843
18655,99999091,600,630
18658,99999092,2000,2100
18659,10210004,16490,19458
18665,10200221,4205,4962
18666,10200162,347,409
18668,10210335,409338,480658
18670,10210077,26073,27377
18671,10200190,26000,30680
18676,10200199,44966,53060
18679,10910013,10600,12508
18683,10200236,13200,15576
18684,10210314,254450,299717
18686,10200177,8065,9517
18686,99999028,16130,19033
18689,210200480,94737,111790
18692,10400024,8503,10034
18697,10210135,105934,125002
18698,10210029,18646,22002
18700,10610026,3800,3990
18703,10210183,68040,80287
18711,10200210,71902,84844
18712,10200189,26579,31363
18715,10300068,58420,68936
18715,99999025,316380,373328
18717,10610020,10675,12597
18718,10210118,14045,16573
18719,10610086,197650,233227
18720,10210023,8030,9475
18722,10200185,2705051,3191960
18734,10200214,16526,19501
18737,10300072,199200,235056
18742,10610013,5250,6195
18742,10610014,525,620
18742,10610060,10500,12390
18742,10610161,19425,22922
18742,10610260,3150,3717
18742,10610368,21000,24780
18746,10210021,7500,8850
18747,10200233,4800,5708
18750,10210064,205090,242006
18751,10210050,2600,3068
18753,10200232,45850,54103
18755,10300070,5052,5961
18759,10210376,8947,10557
18761,10210253,33827,39915
18773,10300073,43200,50976
18775,10300080,864,1020
18779,10400023,8556,10096
18780,10300074,6160,6899
18784,10200198,2800,3304
18785,10910014,27017,31880
18794,10200218,19053,22483
18797,10300075,3288,3880
18800,10210227,3425,4042
18801,10400025,2076,2450
18802,10210010,5622,6634
18814,10300078,3900,4602
18814,10610152,24700,29146
18818,10200207,240,269
18819,10610118,4592,5878
18821,10610034,12695,14980
18822,10300086,205263,242210
18826,10300082,9482,11189
18828,10210039,11575,13659
18832,10210176,10526,12421
18835,10210138,290023,342227
18839,10300083,36720,43330
18840,10200216,2665190,2665190
18841,10200229,14800,17464
18842,10610021,82000,96760
18843,10210193,16540,19517
18848,10210016,600,708
18855,10300087,1566,1848
18855,10300088,2633,3107
18856,10210069,52254,61660
18861,10200226,8046,9494
18882,10610027,7950,9381
18884,10200234,15890,18750
18894,10910002,36400,46592
18895,10200228,109364,129050
18896,10210042,44325,52304
18906,10200231,22925,22925
18910,10210156,409108,482747
18911,10610006,37800,44604
18913,10610092,71068,83860
18914,10210019,87000,102660
18918,10210005,3500,4130
18928,210200238,4406,5199
18929,210200239,263,310
18930,210200240,561,662
18931,210200241,561,662
18932,210200242,293,346
18933,210200243,389,459
18934,210200244,322,380
18935,210200245,389,459
18936,210200246,551,650
18937,210200247,347,409
18938,210200248,694,819
18939,210200249,322,380
18940,210200250,377,445
18941,210200251,377,445
18942,210200252,322,380
18943,210200253,694,819
18944,210200254,877,1035
18945,210200255,347,409
18946,210200256,694,819
18947,210200257,693,818
18948,210200258,372,439
18949,210200259,1068,1260
18950,210200260,6779,7999
18951,210200261,377,445
18952,210200262,377,445
18953,210200263,694,819
18954,210200264,694,819
18955,210200265,694,819
18956,210200266,267,315
18957,210200267,419,495
18958,210200268,262,310
18959,210200269,694,819
18960,210200270,252,297
18961,210200271,372,439
18962,210200272,267,315
18963,210200273,764,901
18964,210200274,263,310
18965,210200275,259,306
18966,210200276,250,295
18967,210200277,372,439
18968,210200278,376,444
18969,210200279,42,50
18970,210200280,592,699
18971,210200281,694,819
18972,210200282,107,126
18973,210200283,347,409
18974,210200284,372,439
18975,210200285,214,253
18976,210200286,372,439
18977,210200287,552,651
18978,210200288,2948,3478
18979,210200289,551,650
18980,210200290,694,819
18981,210200291,764,901
18982,210200292,358,422
18983,210200293,389,459
18984,210200294,614,724
18985,210200295,628,741
18986,210200296,628,741
18987,210200297,9748,11502
18988,210200298,551,650
18989,210200299,628,741
18990,210200300,1219,1438
18991,210200301,347,409
18992,210200302,614,724
18993,210200303,614,724
18994,210200304,322,380
18995,210200305,694,819
18996,210200306,624,736
18997,210200307,624,736
18998,210200308,624,736
18999,210200309,624,736
19000,210200310,1823,2151
19001,210200311,414,489
19002,210200312,1809,2134
19003,210200313,624,736
19004,210200314,547,646
19005,210200315,414,489
19006,210200316,250,295
19007,210200317,322,380
19008,210200318,624,736
19009,210200319,214,253
19010,210200320,624,736
19011,210200321,1004,1185
19012,210200322,214,253
19013,210200323,624,736
19014,210200324,551,650
19015,210200325,551,650
19016,210200326,414,489
19017,210200327,214,253
19018,210200328,443,523
19019,210200329,846,998
19020,210200330,443,523
19021,210200331,174,205
19022,210200332,551,650
19023,210200333,410,484
19024,210200334,1652,1949
19025,210200335,107,126
19026,210200336,174,205
19027,210200337,551,650
19028,210200338,174,205
19029,210200339,624,736
19030,210200340,624,736
19031,210200341,581,686
19032,210200342,1627,1920
19033,210200343,1004,1185
19034,210200344,1004,1185
19035,210200345,624,736
19036,210200346,624,736
19037,210200347,410,484
19038,210200348,368,434
19039,210200349,6779,7999
19040,210200350,255,301
19041,210200351,174,205
19042,210200352,624,736
19043,210200353,551,650
19044,210200354,368,434
19045,210200355,263,310
19046,210200356,624,736
19047,210200357,945,1115
19048,210200358,624,736
19049,210200359,624,736
19050,210200360,624,736
19051,210200361,624,736
19052,210200362,368,434
19053,210200363,250,295
19054,210200364,3119,3680
19056,210200365,624,736
19057,210200366,624,736
19058,210200367,551,650
19059,210200368,1050,1239
19060,210200369,443,523
19061,210200370,443,523
19062,210200371,443,523
19063,210200372,443,523
19064,210200373,364,430
19065,210200374,225,265
19066,210200375,443,523
19067,210200376,624,736
19068,210200377,551,650
19069,210200378,551,650
19070,210200379,410,484
19071,210200380,551,650
19072,210200381,292,345
19073,210200382,107,126
19074,210200383,551,650
19075,210200384,258,305
19076,210200385,107,126
19077,210200386,505,596
19078,210200387,551,650
19079,210200388,250,295
19080,210200389,624,736
19081,210200390,6779,7999
19082,210200391,250,295
19083,210200392,263,310
19084,210200393,214,253
19085,210200394,263,310
19086,210200395,250,295
19087,210200396,419,494
19088,210200397,214,253
19089,210200398,4406,5199
19090,210200399,216,255
19091,210200400,107,126
19092,210200401,4406,5199
19093,210200402,263,310
19094,210200403,174,205
19095,210200404,174,205
19096,210200405,1354,1597
19097,210200406,551,650
19098,210200407,271,320
19099,210200408,368,434
19100,210200409,107,126
19101,210200410,551,650
19102,210200411,1004,1185
19103,210200412,539,636
19104,210200413,2501,2951
19105,210200414,107,126
19106,210200415,410,484
19107,210200416,539,636
19108,210200417,292,344
19109,210200418,539,636
19110,210200419,1856,2191
19111,210200420,505,596
19112,210200421,263,310
19113,210200422,368,434
19114,210200423,636,750
19116,210200425,410,484
19117,210200426,949,1120
19118,210200427,1017,1200
19119,210200428,368,434
19120,210200429,368,434
19121,210200430,250,295
19122,210200431,432,510
19123,210200432,361,426
19124,210200433,500,590
19125,210200434,119,140
19126,210200435,500,590
19127,210200436,107,126
19128,210200437,381,450
19129,210200438,432,510
19130,210200439,694,819
19132,210200441,488,576
19133,210200442,107,126
19134,210200443,283,334
19135,210200444,405,478
19136,210200445,464,548
19137,210200446,694,819
19138,210200447,368,434
19139,210200448,368,434
19140,210200449,640,755
19141,210200450,466,550
19142,210200451,424,500
19143,210200452,368,434
19144,210200453,466,550
19145,210200454,322,380
19146,210200455,42,50
19147,210200456,368,434
19148,210200457,466,550
19149,210200458,1068,1260
19150,210200459,244,288
19151,210200460,508,600
19152,210200461,694,819
19153,210200462,694,819
19154,210200463,6971,8226
19155,210200464,694,819
19156,210200465,118,139
19157,210200466,410,484
19158,210200467,191,225
19159,210200468,107,126
19161,210200470,263,310
19162,210200471,211,249
19163,210200472,244,288
19164,210200473,107,126
19165,210200474,107,126
19166,210200475,1695,2000
19167,210200476,254,300
19168,210200477,119,140
19169,210200478,585,690
19170,210200479,352,415
19173,201942,432324,510142
19182,10710006,57386,64272
19185,10610066,11804,12839
19190,10210181,132940,156869
19191,10210049,342431,404445
19193,10210092,50210,59248
19198,10210002,6135,7239
19202,10210179,25486,30073
19203,10610003,33528,39563
19204,10610029,22680,26762
19206,10910001,136480,161046
19209,10210189,3684,4347
19215,10210165,11260,13287
19219,10210079,13222,15602
19220,10610048,47292,55805
19221,10210060,21576,25460
19225,10210136,42000,49560
19228,10610005,46725,55136
19229,10610023,42020,49729
19231,10210009,1916499,2261469
19232,10210084,0,0
19236,10210161,1424166,1680516
19240,10610024,15800,18644
19241,10210052,22840,26951
19242,10210130,31647,37343
19250,10610007,2020,2384
19253,10210073,1591,1877
19254,10210313,13283,14877
19260,10610010,23350,26370
19276,10210024,60000,70800
19277,10210167,94500,111510
19279,210210024,432,510
19280,210210025,1220,1440
19281,210210026,432,510
19282,210210027,505,596
19283,210210028,505,596
19284,210210029,432,510
19285,210210030,949,1120
19286,210210031,506,597
19287,210210032,432,510
19288,210210033,432,510
19289,10210047,8225,9706
19290,10210082,98128,103034
19294,10610022,652550,770009
19301,10210244,5960,6675
19314,10210035,56250,63000
19316,10210329,16675,19677
19321,10610011,73105,86264
19323,10210058,21579,25463
19325,10210044,21800,25724
19326,10210046,4022,4746
19328,10210063,6583,7767
19329,10210117,27280,32190
19339,10610054,3531,4166
19340,10210059,7059,8329
19342,10910003,2076,2450
19343,10210054,6416,7571
19344,10210213,8985,10602
19345,10210080,60752,71687
19346,10210075,12500,14750
19347,10210096,45973,54248
19350,10210285,8626,10179
19351,10610018,6640,7835
19352,10410001,15600,19968
19356,10210220,6485,7652
19357,10210055,77366,91292
19358,10210172,94734,111786
19359,10210076,8505,10036
19360,10210065,26596,31383
19361,10210078,7202,9219
19363,10210245,37270,39816
19364,10910004,692,817
19368,10910006,692,817
19369,10910005,692,817
19370,11010001,2076,2450
19371,10610038,3300,4224
19374,10210085,15851,18704
19384,10210163,24052,29020
19390,10610071,20485,24173
19391,10210331,1727,2038
19392,10610037,20360,22924
19401,10210068,3800,4484
19402,10210116,11730,13841
19403,10210132,82979,97915
19405,10210066,21529,25404
19409,10210194,3790,4472
19412,10210151,0,-180624
19412,10610230,2304502,2719312
19423,10210443,52313,61729
19434,10210090,2500,2950
19441,10210386,8882,10481
19444,10210098,46140,59059
19445,10210159,10895,12856
19446,10210133,13764,16242
19448,10210510,35000,41300
19451,10210182,14000,14700
19454,10210071,120719,142448
19456,10210287,69662,89167
19457,10610036,775,915
19458,10210207,150000,177000
19467,10210222,490000,490000
19469,10610033,25940,30609
19470,10210072,2600,2730
19473,10610057,10104,11923
19474,10210131,39000,49920
19475,10210129,67850,80063
19477,10210231,212500,250750
19483,10610063,20500,24190
19484,10610062,20500,24190
19485,10610064,20500,24190
19486,10610065,20500,24190
19487,10610068,20500,24190
19488,10610069,20500,24190
19489,10610067,20500,24190
19490,10210509,353660,417319
19494,11010003,700000,826000
19500,10610031,10680,12602
19503,10210153,13750,17600
19507,10210206,20730,20730
19508,10210155,12949,15280
19510,10410002,11847,13979
19515,10610201,66250,78175
19521,10210122,138396,163307
19522,10210112,26836,31666
19523,10210453,0,0
19523,10210677,369089,435525
19524,10210091,9546,11264
19526,10910010,10380,12248
19527,10210087,124341,146722
19528,10910009,6920,8166
19531,10210340,13050,15399
19537,10610047,480524,566937
19541,10210256,249784,279758
19544,10910011,2076,2450
19545,10210097,19500,23010
19546,10210145,4699,5510
19547,10210089,194061,228992
19556,10210311,43686,51550
19558,10610087,39691,46835
19562,10210144,43360,51165
19563,10210143,11480,13546
19564,10210113,32895,34539
19567,10210210,5204,5464
19570,10210289,47300,55814
19578,10610039,1100,1232
19584,10210265,6105,6837
19585,10210125,332483,332483
19592,10210105,25154,29681
19595,10210102,1259688,1486432
19597,10210114,3282,3872
19601,10210104,230000,271400
19602,10210103,2036088,2402583
19608,10210142,16677,19679
19609,10210108,564483,666090
19610,10210109,416767,491786
19616,10210198,1412584,1412584
19618,10210170,8750,11200
19620,10610072,8380,9888
19626,10210190,84737,88973
19631,10210419,7000,8260
19633,10210160,7974,9409
19635,10210185,26596,31383
19636,10210316,3200,3776
19642,10210139,1088436,1322873
19647,10210274,7500,8400
19653,10210192,119760,141317
19654,10910015,35661,42080
19666,10610043,48000,56640
19668,10610103,717233,857584
19668,10610219,34627,40860
19678,10210237,28980,34196
19686,10210201,22107,26086
19690,10910024,968421,1142737
19691,10210290,663158,782526
19692,10210257,4791,5653
19693,10210223,5294,6247
19698,10610049,16250,19175
19699,10610055,48432,57150
19700,10210196,1375000,1622500
19702,10210307,17368,20494
19705,10610100,47808,61194
19707,10210187,76596,90383
19714,10610053,6800,8024
19715,10210380,16300,19234
19716,10210482,19706,23253
19717,10610052,117061,137569
19717,10610302,88000,103840
19717,10610389,3130,3693
19718,10210152,70000,82600
19720,10210169,32005,37766
19722,10210141,3753,4429
19724,10210209,19016,22439
19728,10210162,26596,31383
19735,10210777,146274,153588
