Inquiry Number,SO #,SUM of Selling Price (as per SO / AR Invoice),SUM of Gross Total Selling
10669,2000377,422,498
10670,2000378,422,498
10671,2000383,1184238,1515825
10672,2000382,280,330
10673,2000389,2438,2877
10674,2000932,2774,3107
10675,2000385,1186098,1518205
10676,2000390,689,882
10684,2001223,77350,91273
10685,2000456,46725,55136
10686,2000401,66316,78253
10688,2000546,56630,66823
10690,2000399,28000,33040
10691,2000526,9150,11020
10695,2000396,875,919
10697,2000392,5312,6800
10699,2002119,196447,231807
10703,2000462,42425,54237
10704,2000419,5622,7196
10708,2000425,7500,8850
10709,2003552,0,0
10711,2000499,1023750,1208025
10713,2000410,25017,29520
10720,2000408,60000,70800
10724,2000492,3490,4118
10726,2000601,43450,55616
10728,2000464,4375,5163
10731,2000551,14942,17632
10734,2000420,135000,151200
10735,2000568,13486,17262
10736,2000663,85302,100656
10740,2000504,22145,26131
10742,2000451,2141,2526
10744,2000454,311,367
10745,2000522,297,350
10748,2000440,15780,18620
10762,2000689,75224,84251
10763,2000470,48020,56960
10763,2003622,6040,7127
10763,99999038,559327,659079
10763,210200086,1600,1888
10765,2000465,329350,388633
10766,2000448,20842,24594
10767,2000449,36632,43226
10768,2000450,103158,121726
10769,2000634,69340,84121
10772,2000600,4300,5074
10777,2000455,339,400
10780,2000548,11333,14506
10781,2001978,1509905,1694656
10784,2000521,560,661
10786,2000515,11656,13754
10786,2003625,4775,5635
10791,2000540,4993077,4993077
10793,2002293,1268712,1268712
10802,2000463,2760,3091
10803,2000688,18651,23873
10804,2000466,280,330
10805,2000467,338,398
10807,2000468,446,526
10808,2000954,26126,30829
10809,2000620,29000,34220
10810,2000469,673,794
10811,2000471,344,406
10812,2000518,22500,26550
10813,2000480,671,792
10815,2000520,309,365
10816,2000731,146781,187880
10823,2000598,5052,5961
10826,2000489,4148,5310
10828,2000481,2048,2417
10829,2000577-1,5200,6136
10830,2000482,339,400
10831,2000636,22200,26196
10831,99999076,22200,26196
10836,2000690,9463,11188
10837,2000493,5923,6989
10838,2000629,67209,81978
10842,2000628,10288,13169
10847,2001853,140056,165266
10848,2000732,48000,56640
10852,10300065,7450,8791
10852,99999027,14720,17370
10858,2000508,7450,8791
10859,2000552,14994,17693
10860,2000638,14240,16803
10861,2000495,422,498
10862,2000497,673,794
10865,2000500,15142,15899
