Inquiry number,company id,company name
495,174,ITC Grand Central - A Luxury Collection Hotel
8797,7,Cipla Ltd.
16315,336,Vestas Wind Technology India Pvt. Ltd.
10613,195,Larsen and Toubro Ltd.
8799,276,RMC Readymix India Pvt. Ltd.
6724,182,Jones Lang Lasalle Property Consultants India Pvt. Ltd.
9524,294,Shelf Drilling Offshore Services India Pvt. Ltd.
9515,271,Raymond Ltd.
16312,1050,Rajoo Engineers Ltd.
6754,378,Centre for Railway Information Systems
6762,177,Jay Consultancy
6766,160,"INS Dega, Indian Navy"
16311,1290,Captain Pipes Ltd.
16310,470,Shivam Engineering
13724,122,GE India Industrial Pvt. Ltd. (Division: JFWTC)
7136,322,Tata Cummins Pvt. Ltd.
10588,16,ACE Technologies and Packaging Systems Pvt. Ltd.
8999,131,Glenmark Pharmaceuticals Ltd.
8815,306,Sotax India Pvt. Ltd.
7173,267,Rail Coach Factory
7190,59,Cairn India Ltd.
7196,118,Galiakotwala Engineering Co. Pvt. Ltd.
7207,41,Bandekar and Sons
26756,1798,Indian Express Ltd
26757,1795,Duke Offshore
7225,59,Cairn India Ltd.
8835,29,APM Terminals India Pvt. Ltd.
8834,29,APM Terminals India Pvt. Ltd.
8831,34,ATA Enterprises
8829,265,Quippo Oil and Gas Infrastructure Ltd.
8824,34,ATA Enterprises
8819,15,Accuramech Industrial Engineering Pvt. Ltd.
7261,52,Bharat Wire Ropes Ltd.
8804,7,Cipla Ltd.
8791,389,Symbiosis Institute of Design
8793,389,Symbiosis Institute of Design
8789,202,LM Wind Power
4525,322,Tata Cummins Pvt. Ltd.
7313,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
8764,151,Hoerbiger India Serial Technology Pvt. Ltd.
7328,182,Jones Lang Lasalle Property Consultants India Pvt. Ltd.
8750,276,RMC Readymix India Pvt. Ltd.
7417,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
7350,256,PNP Maritime Services Pvt. Ltd.
3618,156,Indian Institute of Technology Bombay
7370,267,Rail Coach Factory
4552,296,Shreeji Trading Co.
8716,29,APM Terminals India Pvt. Ltd.
8711,402,Time Techno Plast Ltd.
7449,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
7450,59,Cairn India Ltd.
7454,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
8695,256,PNP Maritime Services Pvt. Ltd.
7458,274,Research Innovation Incubation Design Labs
16111,664,Silverline Electricals Pvt. Ltd.
7465,174,ITC Grand Central - A Luxury Collection Hotel
8688,27,Amwaj International
8888,395,Suyash Enterprises
8889,38,Bairavi Industries
16113,596,REHAU Polymers Pvt. Ltd.
7504,359,E industrial Suppliers
8653,72,Crest Packaging Pvt. Ltd.
7509,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
8895,338,Vigel Manufacturing Technologies Pvt. Ltd.
7524,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
7525,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
8901,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
