increment_id,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
27316,65311,27316,2,765107,4,0,0,0.00,0.00,1,757.89,"Contactor MNX-25,LandT Make",0.00,0.00,0,0,720.00,BM9W4Q8,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27316,65312,27316,3,765105,6,0,0,0.00,0.00,1,1321.05,"Digital Timer,GIC make 67DDTO  CAT NO",0.00,0.00,0,0,1255.00,BM9R8A6,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,9107,NULL,NULL,0,0
27316,65313,27316,4,765101,4,0,0,0.00,0.00,1,1168.42,"MCCB 63A 4P 10K,LandT Make",0.00,0.00,0,0,1110.00,BM9U8Z7,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27316,65314,27316,5,765102,105,0,0,0.00,0.00,1,105.26,"MCB 6A SP,LandT Make  10 KA",0.00,0.00,0,0,100.00,BM9U1F5,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27316,65315,27316,6,765099,15,0,0,0.00,0.00,1,333.68,"MCB 20A DP,LandT Make  10 KA",0.00,0.00,0,0,317.00,BM9Z2K8,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27316,65316,27316,7,765100,12,0,0,0.00,0.00,1,1957.89,"RCCB 63A 4P  300mA,LandT Make",0.00,0.00,0,0,1860.00,BM9R5G4,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27316,65317,27316,8,765106,40,0,0,0.00,0.00,1,1236.84,"Analog Timers, GIC Make  FM1QT",0.00,0.00,0,0,1175.00,BM9R8T4,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,9107,NULL,NULL,0,0
27316,65318,27316,9,765108,40,0,0,0.00,0.00,1,105.26,"MCB 20A SP, LandT Make 10 KA",0.00,0.00,0,0,100.00,BM9W1H2,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27316,65319,27316,10,765098,40,0,0,0.00,0.00,1,333.68,"MCB 20A DP, LandT Make  10KA",0.00,0.00,0,0,317.00,BM9T1M6,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27316,65320,27316,11,765104,1,0,0,0.00,0.00,1,3557.89,"45A, 3TF Contactor, Siemens Make",0.00,0.00,0,0,3380.00,BM9Z8J7,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
