legacy_id,inquiry_number,calculation_sheet,calculation_sheet_path,customer_po_sheet,customer_po_sheet_path,email_attachment,email_attachment_path,supplier_quote_attachment,sqa_path,supplier_quote_attachment_additional,sqa_additional_path
18592,15974,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18591,15973,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18590,15972,15972CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15972CalculationSheet.xlsx,15972POSheet.xlsx,https://bulkmro.com/media/quotation_attachment1/15972POSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL
18589,15971,15971CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15971CalculationSheet.xlsx,15971POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15971POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18588,15970,15970CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15970CalculationSheet.xlsx,undefinedPOSheet.pdf,https://bulkmro.com/media/quotation_attachment1/undefinedPOSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18587,15969,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18586,15968,15968CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15968CalculationSheet.xlsx,15968POSheet.xlsx,https://bulkmro.com/media/quotation_attachment1/15968POSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL
18585,15967,15967CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15967CalculationSheet.xlsx,15967POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15967POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18584,15966,15966CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15966CalculationSheet.xlsx,15966POSheet.xlsx,https://bulkmro.com/media/quotation_attachment1/15966POSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL
18583,15965,15965CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15965CalculationSheet.xlsx,15965POSheet.xlsx,https://bulkmro.com/media/quotation_attachment1/15965POSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL
18582,15964,15964CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15964CalculationSheet.xlsx,15964POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15964POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18581,15963,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18580,15962,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18579,15961,15961CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15961CalculationSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18578,15960,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18577,15959,15959CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15959CalculationSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18576,15958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18573,15955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18571,15953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18570,15952,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18569,15951,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18568,15950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18567,15949,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18566,15948,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18565,15947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18564,15946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18563,15945,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18562,15944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18561,15943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18560,15942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18559,15941,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18558,15940,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18557,15939,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18556,15938,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18555,15937,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18554,15936,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18553,15935,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18552,15934,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18551,15933,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18550,15932,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18549,15931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18548,15930,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18547,15929,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18546,15928,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18545,15927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18544,15926,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18543,15925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18542,15924,15924CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15924CalculationSheet.xlsx,15924POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15924POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18541,15923,15923CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15923CalculationSheet.xlsx,15923POSheet.xlsx,https://bulkmro.com/media/quotation_attachment1/15923POSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL
18540,15922,15922CalculationSheet.pdf,https://bulkmro.com/media/quotation_attachment/15922CalculationSheet.pdf,undefinedPOSheet.pdf,https://bulkmro.com/media/quotation_attachment1/undefinedPOSheet.pdf,undefinedEmailSheet.pdf,https://bulkmro.com/media/quotation_attachment2/undefinedEmailSheet.pdf,NULL,NULL,NULL,NULL
18539,15921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18538,15920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
