increment_id,doc_entry,sup_code,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
20306,NULL,SC-00029,56391,22942,1,645691,1,0,0,0.00,0.00,1,216.95,"STANLEY Retractable Utility Knife, 156 mm-6.1/8"" - 10-175-12",0.00,0.00,0,0,103.40,BM0C7F5,NULL,NULL,121.00,10-175-12,EA,,0,0,135,16,"IGST 18%",0,82081000,NULL,NULL,0,0
20307,NULL,SC-00029,56392,22943,1,733367,1,0,0,0.00,0.00,1,254.24,"STANLEY Tough Case Tape, Width 19 mm, Length 5 Mtr - STHT36067-812",0.00,0.00,0,0,169.95,BM0Q8X8,NULL,NULL,137.29,STHT36067-812,EA,,0,0,135,16,"IGST 18%",0,90178090,NULL,NULL,0,0
20308,NULL,SC-00029,56394,22944,1,645848,1,0,0,0.00,0.00,1,224.58,"STANLEY Screwdriver Set Precision Bi-Material, 6 Piece - 66-052 - BM0C7V1",0.00,0.00,0,0,162.80,BM0C7V1,NULL,NULL,224.58,66-052,SET,,0,0,135,16,"IGST 18%",0,82054000,NULL,NULL,0,0
20308,NULL,SC-00029,56395,22944,2,678151,1,0,0,0.00,0.00,1,42.37,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,42.37,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20309,NULL,SC-00029,56396,22945,1,733367,1,0,0,0.00,0.00,1,137.28,"STANLEY Tough Case Tape, Width 19 mm, Length 5 Mtr - STHT36067-812",0.00,0.00,0,0,169.95,BM0Q8X8,NULL,NULL,254.24,STHT36067-812,EA,,0,0,135,16,"IGST 18%",0,90178090,NULL,NULL,0,0
20309,NULL,SC-00029,56397,22945,2,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,42.37,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20310,NULL,SC-00029,56398,22946,1,733367,1,0,0,0.00,0.00,1,137.29,"STANLEY Tough Case Tape, Width 19 mm, Length 5 Mtr - STHT36067-812",0.00,0.00,0,0,169.95,BM0Q8X8,NULL,NULL,137.28,STHT36067-812,EA,,0,0,135,16,"IGST 18%",0,90178090,NULL,NULL,0,0
20310,NULL,SC-00029,56399,22946,2,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20311,NULL,SC-00029,56400,22947,1,95357,1,0,0,0.00,0.00,1,298.30,"STANLEY Combination Spanner Set, 12 Piece - 70-964E",0.00,0.00,0,0,299.20,BM0C8W5,NULL,NULL,298.31,70-964E,SET,,0,0,135,16,"IGST 18%",0,8204,NULL,NULL,0,0
20311,NULL,SC-00029,56401,22947,2,678151,1,0,0,0.00,0.00,1,67.80,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,67.80,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20312,NULL,SC-00029,56402,22948,1,645884,1,0,0,0.00,0.00,1,393.22,"STANLEY Wood Chisel Set, 3 Piece - 16-089",0.00,1.00,0,0,330.00,BM0C7U2,NULL,NULL,393.22,16-089,SET,,0,0,135,16,"IGST 18%",0,82053000,NULL,NULL,0,0
20312,NULL,SC-00029,56403,22948,2,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,67.80,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20313,NULL,SC-00029,56404,22949,1,645884,1,0,0,0.00,0.00,1,393.22,"STANLEY Wood Chisel Set, 3 Piece - 16-089",0.00,1.00,0,0,330.00,BM0C7U2,NULL,NULL,393.22,16-089,SET,,0,0,135,16,"IGST 18%",0,82053000,NULL,NULL,0,0
20313,NULL,SC-00029,56405,22949,2,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20314,NULL,SC-00029,56406,22950,1,95527,1,0,0,0.00,0.00,1,167.80,"STANLEY Combination Plier, Single Color Sleeve, Length 205mm/8"" - 70-461 - BM0C7Q4",0.00,0.00,0,0,250.00,BM0C7Q4,NULL,NULL,240.68,70-461,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20315,NULL,SC-00029,56407,22951,1,95527,1,0,0,0.00,0.00,1,167.80,"STANLEY Combination Plier, Single Color Sleeve, Length 205mm/8"" - 70-461 - BM0C7Q4",0.00,0.00,0,0,250.00,BM0C7Q4,NULL,NULL,167.80,70-461,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20316,NULL,SC-00029,56408,22952,1,95482,1,0,0,0.00,0.00,1,624.58,"STANLEY Screwdriver Multi Bit Ratcheting, 10 Piece - STHT68010-8",0.00,0.00,0,0,434.00,BM0C7U8,NULL,NULL,550.85,STHT68010-8,SET,,0,0,135,16,"IGST 18%",0,82054000,NULL,NULL,0,0
20317,NULL,SC-00029,56409,22953,1,95357,1,0,0,0.00,0.00,1,298.30,"STANLEY Combination Spanner Set, 12 Piece - 70-964E",0.00,0.00,0,0,299.20,BM0C8W5,NULL,NULL,298.30,70-964E,SET,,0,0,135,16,"IGST 18%",0,8204,NULL,NULL,0,0
20317,NULL,SC-00029,56410,22953,2,678151,1,0,0,0.00,0.00,1,67.80,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,67.80,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20318,NULL,SC-00029,56411,22954,1,724462,1,0,0,0.00,0.00,1,169.49,"STANLEY Center Punch, 8mm-5/16"" X 115mm-4.1/2"" - 16-228",0.00,0.00,0,0,178.00,BM9D4W6,NULL,NULL,125.90,16-228,EA,,0,0,135,16,"IGST 18%",0,8203,NULL,NULL,0,0
20319,NULL,SC-00029,56412,22955,1,95357,1,0,0,0.00,0.00,1,298.30,"STANLEY Combination Spanner Set, 12 Piece - 70-964E",0.00,0.00,0,0,299.20,BM0C8W5,NULL,NULL,298.30,70-964E,SET,,0,0,135,16,"IGST 18%",0,8204,NULL,NULL,0,0
20319,NULL,SC-00029,56413,22955,2,678151,1,0,0,0.00,0.00,1,67.80,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,67.80,BM99999,NULL,NULL,67.80,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20320,NULL,SC-00029,56414,22956,1,698511,1,0,0,0.00,0.00,1,118.64,"STANLEY Glass Cutter, Length 130 mm - 14-125 - BM1G0N1",0.00,0.00,0,0,110.00,BM1G0N1,NULL,NULL,118.64,14-125,EA,,0,0,135,16,"IGST 18%",0,82079090,NULL,NULL,0,0
20321,NULL,SC-00029,56415,22957,1,95822,1,0,0,0.00,0.00,1,2457.63,"STANLEY Bottle Jack, Lifting Capacity 8000 Kg-8 - ST90801CE",0.00,6.60,0,0,1710.00,BM0C7A2,NULL,NULL,2394.07,ST90801CE,EA,,0,0,135,16,"IGST 18%",0,84254200,NULL,NULL,0,0
20323,NULL,SC-00029,56416,22959,1,645499,1,0,0,0.00,0.00,1,225.42,"STANLEY Crimping Plier, Length 230 mm/9"" - 84-223-22",0.00,0.00,0,0,157.30,BM0C7B2,NULL,NULL,250.00,84-223-22,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20324,NULL,SC-00029,56417,22960,1,733332,1,0,0,0.00,0.00,1,2796.61,"STANLEY 1320W Tile Cutter, 125 mm - STSP125-IN",0.00,0.00,0,0,2316.00,BM3U7A3,NULL,NULL,2833.33,"STSP125-IN ",EA,,0,0,135,16,"IGST 18%",0,84615019,NULL,NULL,0,0
20324,NULL,SC-00029,56418,22960,2,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,67.80,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20325,NULL,SC-00029,56419,22961,1,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20326,NULL,SC-00029,56420,22962,1,95357,1,0,0,0.00,0.00,1,298.30,"STANLEY Combination Spanner Set, 12 Piece - 70-964E",0.00,0.00,0,0,299.20,BM0C8W5,NULL,NULL,298.30,70-964E,SET,,0,0,135,16,"IGST 18%",0,8204,NULL,NULL,0,0
20326,NULL,SC-00029,56421,22962,2,678151,1,0,0,0.00,0.00,1,67.80,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,67.80,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
