Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Process Company?,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Dr. B.R. Ambedkar Center for Biomedical Research,Dr. B.R. Ambedkar Center for Biomedical Research,No-Yes,Ambedkar Center - Biomedical Research,ACBR,Customer
,Dr. B.R. Ambedkar National Institute of Technology,Dr B.R. Ambedkar National Institute of Technology,Yes-Yes,Ambedkar - NIT,NIT,Customer
,Dr. D. Y. Patil College of Ayurved & Research Center,Dr. D. Y. Patil College of Ayurved & Research Center,No-Yes,DY Patil College,Dr. D. Y. Patil College of Ayurved & Research Center,Customer
,Dr. Reddy's Laboratories Ltd.,Dr. Reddy's Laboratories Ltd.,No-Yes,Dr. Reddys,Dr Reddys,Customer
,Durr India Pvt. Ltd.,Durr India Pvt. Ltd.,No-Yes,Durr,Durr India,Customer
,Dyanamic Valves Pvt. Ltd.,Dyanamic Valves Pvt. Ltd.,No-Yes,Dyanamic Valves,Dyanamic Valves Pvt. Ltd.,Customer
,Dyna Filters Pvt. Ltd.,Dyna Filters Pvt. Ltd.,No-Yes,Dyna,Dyna Filters,Customer
,Dynamic Drilling & Services Pvt. Ltd.,Dynamic Drilling & Services Pvt. Ltd.,No-Yes,Dynamic Drilling & Services,Dynamic Drilling & Services Pvt. Ltd.,Customer
,Eagle System,Eagle System,No-Yes,Eagle System,Eagle Sys,Customer
,East West Pipeline Ltd.,East West Pipeline Ltd.,No-Yes,East West Pipeline,Reliance,Customer
,Eaton India Innovation Center LLP,Eaton India Innovation Center LLP,No-Yes,Eaton,Eaton Technologies,Customer
,Eaton Technologies Pvt. Ltd.,Eaton Technologies Pvt. Ltd.,No-Yes,Eaton,Eaton Technologies,Customer
,Echelon India LLP,Echelon India LLP,No-Yes,Echelon,Echelon India,Customer
,Eirich India Pvt. Ltd.,Eirich India Pvt. Ltd.,No-Yes,Eirich,Eirich India,Customer
,Eisenmann India Pvt. Ltd,Eisenmann India Pvt. Ltd,No-Yes,Eisenmann,Eisenmann India Pvt. Ltd,Customer
,Electrotherm (India) Ltd.,Electrotherm (India) Ltd.,No-Yes,Electrotherm,Electrotherm (India) Ltd.,Customer
,Elentec India Technologies Pvt. Ltd.,Elentec India Technologies Pvt. Ltd.,No-Yes,Elentec,Elentec India Tech,Customer
