invoice_number,created_at,inquiry_number,created_at,customer_committed_date,delivery_date,Date Difference,Cat,Delivery Date
202001470,2019-08-02 18:17:41,36691,2019-07-23 11:13:01,8/26/2019,8/9/2019,-17,ON OR BEFORE TIME,8/9/2019
202001486,2019-08-03 16:31:37,33131,2019-03-28 10:45:46,4/30/2019,4/29/2019,-1,ON OR BEFORE TIME,4/29/2019
202001463,2019-08-02 14:22:23,33694,2019-04-16 18:57:25,5/22/2019,5/21/2019,-1,ON OR BEFORE TIME,5/21/2019
204000542,2019-08-05 14:39:41,32532,2019-03-09 11:56:57,7/1/2019,6/30/2019,-1,ON OR BEFORE TIME,6/30/2019
202001484,2019-08-03 15:15:11,35544,2019-06-14 11:32:36,8/5/2019,8/3/2019,-2,ON OR BEFORE TIME,8/3/2019
209000086,2019-08-10 16:51:01,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
202001595,2019-08-13 13:30:49,27761,2018-10-03 00:00:00,11/9/2018,11/8/2018,-1,ON OR BEFORE TIME,11/8/2018
209000088,2019-08-10 16:51:15,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
209000076,2019-08-10 16:48:55,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
204000536,2019-08-01 16:52:29,35727,2019-06-20 16:16:13,7/25/2019,7/23/2019,-2,ON OR BEFORE TIME,7/23/2019
202001490,2019-08-05 17:46:46,37109,2019-08-02 12:27:24,8/24/2019,8/8/2019,-16,ON OR BEFORE TIME,8/8/2019
205000201,2019-08-02 17:34:01,37115,2019-08-02 14:46:11,9/30/2019,8/2/2019,-59,ON OR BEFORE TIME,8/2/2019
202001488,2019-08-05 15:47:43,37025,2019-07-31 16:13:25,8/24/2019,8/8/2019,-16,ON OR BEFORE TIME,8/8/2019
204000543,2019-08-05 18:29:48,36869,2019-07-26 15:55:31,7/30/2019,7/28/2019,-2,ON OR BEFORE TIME,7/28/2019
202001489,2019-08-05 15:53:14,37114,2019-08-02 12:55:11,8/24/2019,8/8/2019,-16,ON OR BEFORE TIME,8/8/2019
