inquiry_number,client order date,order_number,old_order_number,order date,SKU,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,mismatch(total with tax),,total with tax mismatch(sprint - bible),Analysis notes,Kit order
2992,26-Dec-2015,100000240,nil,26-Dec-2015,BM1A4T8,1650.00,1864.50,1650.00,1856.25,8.25,,8.25,,
2963,18-Jan-2016,100000242,nil,18-Jan-2016,BM1A4U3,12836.00,14504.68,15930.00,17921.25,3416.57,,-3416.57,,
2952,27-Dec-2015,100000246,nil,27-Dec-2015,BM1A4T7,2058.00,2325.54,2058.00,2315.25,10.29,,10.29,,
2950,22-Dec-2015,100000247,nil,22-Dec-2015,BM0C7F8,302.00,302.00,432.00,432.00,130.00,,-130.00,,
2947,14-Jan-2016,100000248,nil,14-Jan-2016,BM1A4V2,10000.00,11300.00,10000.00,11250.00,50.00,,50.00,,
2918,15-Jan-2016,100000250,nil,15-Jan-2016,BM1A3V1,11088.00,12529.44,61924.00,69664.50,57135.06,,-57135.06,,
2917,10-Mar-2016,100000251,nil,10-Mar-2016,BM0Z1G9,327670.00,334223.40,559782.00,570977.64,236754.24,,-236754.24,,
2865,5-Jan-2016,100000255,nil,5-Jan-2016,BM1A3T6,2030.00,2293.90,2030.00,2283.75,10.15,,10.15,,
2864,17-Dec-2015,100000257,nil,17-Dec-2015,BM1A3T8,84444.00,95421.72,84444.00,94999.50,422.22,,422.22,,
2859,8-Jan-2016,100000259,nil,8-Jan-2016,BM1A4S0,56000.00,63280.00,65000.00,73125.00,9845.00,,-9845.00,,
2843,21-Dec-2015,100000260,nil,21-Dec-2015,BM0Z0Z4,7755.00,7910.10,21632.00,22064.64,14154.54,,-14154.54,,
2833,4-Dec-2015,100000262,nil,4-Dec-2015,BM1A3S4,18000.00,20340.00,18000.00,20250.00,90.00,,90.00,,
2801,3-Dec-2015,100000263,nil,3-Dec-2015,BM0O4B1,3569.00,4032.97,6834.00,7688.25,3655.28,,-3655.28,,
2800,4-Dec-2015,100000264,nil,4-Dec-2015,BM0O4C6,12284.00,13880.92,77917.01,87656.64,73775.72,,-73775.72,,
2794,30-Nov-2015,100000265,nil,30-Nov-2015,BM1A4R6,3604.00,4072.52,3604.00,4054.50,18.02,,18.02,,
2779,8-Dec-2015,100000267,nil,8-Dec-2015,BM1A4R9,11974.00,11974.00,23100.00,23100.00,11126.00,,-11126.00,,
2772,1-Dec-2015,100000270,nil,1-Dec-2015,BM0C9B9,9269.00,10473.97,27983.00,31480.88,21006.91,,-21006.91,,
2744,23-Nov-2015,100000271,nil,23-Nov-2015,BM1A3Q4,1841.00,2080.33,2041.00,2296.13,215.80,,-215.80,,
2734,19-Nov-2015,100000272,nil,19-Nov-2015,BM0C7V1,252.00,264.60,547.00,574.35,309.75,,-309.75,,
2730,27-Dec-2015,100000274,nil,27-Dec-2015,BM1A3N4,29210.00,33007.30,29210.00,32861.25,146.05,,146.05,,
2729,8-Dec-2015,100000275,nil,8-Dec-2015,BM0O4A2,42594.00,48131.22,48636.00,54715.50,6584.28,,-6584.28,,
2725,31-Dec-2015,100000276,nil,31-Dec-2015,BM0Z0Z2,7056.00,7973.28,7056.00,7938.00,35.28,,35.28,,
2723,12-Dec-2015,100000277,nil,12-Dec-2015,BM1A3N0,4272.00,4485.60,14888.00,15632.40,11146.80,,-11146.80,,
2722,17-Nov-2015,100000278,nil,17-Nov-2015,BM0C7V1,162.00,183.06,292.00,328.50,145.44,,-145.44,,
2691,9-Nov-2015,100000279,nil,9-Nov-2015,BM0L8K3,8540.00,9650.20,8540.00,9607.50,42.70,,42.70,,
2674,6-Nov-2015,100000280,nil,6-Nov-2015,BM1A3M8,10840.00,12249.20,10840.00,12195.00,54.20,,54.20,,
2647,24-Nov-2015,100000283,nil,24-Nov-2015,BM1A3M9,21344.00,24118.72,23478.00,26412.75,2294.03,,-2294.03,,
2617,27-Nov-2015,100000285,nil,27-Nov-2015,BM1A9C0,2400.00,2400.00,3010.00,3010.00,610.00,,-610.00,,
2616,29-Oct-2015,100000286,nil,29-Oct-2015,BM1A3R7,54564.00,61657.32,621861.00,699593.63,637936.31,,-637936.31,,
2588,9-Dec-2015,100000287,nil,9-Dec-2015,BM1A3S5,6500.00,7345.00,6500.00,7312.50,32.50,,32.50,,
2550,26-Oct-2015,100000288,nil,26-Oct-2015,BM1A9B0,1500.00,1575.00,2300.00,2415.00,840.00,,-840.00,,
2522,28-Oct-2015,100000289,nil,6-Nov-2015,BM1A9A8,9984.00,11281.92,9984.00,11232.00,49.92,,49.92,,
2507,28-Oct-2015,100000290,nil,25-Nov-2015,BM1A9A2,87272.00,98617.36,87272.00,98181.00,436.36,,436.36,,
2479,27-Oct-2015,100000292,nil,16-Nov-2015,BM1A6B8,11750.00,11985.00,21750.00,22185.00,10200.00,,-10200.00,,
2460,6-Nov-2015,100000293,nil,6-Nov-2015,BM1A8Y7,16752.00,18929.76,16752.00,18846.00,83.76,,83.76,,
2439,4-Nov-2015,100000294,nil,4-Nov-2015,BM1A8Z7,900.00,1017.00,22546.05,25364.31,24347.31,,-24347.31,,
2429,23-Oct-2015,100000295,nil,6-Nov-2015,BM1A8Y3,25500.00,28815.00,25500.00,28687.50,127.50,,127.50,,
2420,6-Oct-2015,100000296,nil,6-Oct-2015,BM0Z1F3,41900.00,42738.00,93900.00,95778.00,53040.00,,-53040.00,,
2408,20-Oct-2015,100000297,nil,20-Oct-2015,BM0Z1H0,34500.00,38985.00,34500.00,38812.50,172.50,,172.50,,
2361,27-Oct-2015,100000298,nil,9-Dec-2015,BM1A8X1,7040.00,7955.20,62940.00,70807.50,62852.30,,-62852.30,,
2338,13-Nov-2015,100000299,nil,13-Nov-2015,BM0Z1E7,39260.00,44363.80,39260.00,44167.50,196.30,,196.30,,
2336,9-Nov-2015,100000300,nil,9-Nov-2015,BM1A8X5,7440.00,8407.20,7440.00,8370.00,37.20,,37.20,,
2257,8-Dec-2015,100000303,nil,8-Dec-2015,BM1A9C2,130992.00,148020.96,130992.00,147366.00,654.96,,654.96,,
2236,29-Sep-2015,100000305,nil,29-Sep-2015,BM1A8U3,17396.00,19657.48,182225.00,205003.13,185345.65,,-185345.65,,
2226,5-Oct-2015,100000306,nil,5-Oct-2015,BM1A8S3,2915.00,2915.00,3865.00,3865.00,950.00,,-950.00,,
2216,18-Sep-2015,100000307,nil,18-Sep-2015,BM1A7N0,16500.00,18645.00,16500.00,18562.50,82.50,,82.50,,
2212,6-Oct-2015,100000308,nil,6-Oct-2015,BM1A8V0,260380.00,260380.00,1057669.00,1057669.00,797289.00,,-797289.00,,
2211,2-Nov-2015,100000309,nil,2-Nov-2015,BM1A8X6,2400.00,2520.00,25800.00,27090.00,24570.00,,-24570.00,,
