Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Aurobindo Pharma Ltd.,Aurobindo Pharma Ltd.,Aurobindo Pharma,Aurobindo,Customer
,AU Small Finance Bank Ltd.,AU Small Finance Bank Ltd.,AU Small,AU Small,Customer
,AutoConZ Consulting Group,AutoConZ Consulting Group,AutoConZ Consulting,AutoConZ Consulting,Customer
,Automate Technologies,Automate Technologies,Automate Tech,Automate Tech,Customer
,Automotive Research Association of India,Automotive Research Association of India,Automotive Research,Automotive Research,Customer
,Autonics Automation India Pvt. Ltd.,Autonics Automation India Pvt. Ltd.,Autonics Automation,Autonics Automation,Customer
,Autonix Auto Industries Pvt. Ltd.,Autonix Auto Industries Pvt. Ltd.,Autonix Auto,Autonix Auto,Customer
,Avadh Engineering Pvt Ltd.,Avadh Engineering Pvt Ltd.,Avadh Engineering,Avadh Engineering,Customer
,Avadh Industries,Avadh Industries,Avadh Industries,Avadh Industries,Customer
,Avadhoot Paper Products,Avadhoot Paper Products,Avadhoot Paper,Avadhoot Paper,Customer
,Avani Exim,Avani Exim,Avani Exim,Avani Exim,Customer
,Avasarala Technologies Ltd.,Avasarala Technologies Ltd.,Avasarala,Avasarala,Customer
,Avengers Assemble Inc.,Avengers Assemble Inc.,Avengers Assemble,Avengers Assemble,Customer
,Avenue Engineers,Avenue Engineers,Avenue Engineers,Avenue Engineers,Customer
,Avery Dennison India Pvt. Ltd.,Avery Dennison India Pvt. Ltd.,Avery Dennison,Avery Dennison,Customer
,Avi Appliance Pvt. Ltd.,Avi Appliance Pvt. Ltd.,Avi Appliance,Avi Appliance,Customer
,Aviation Overseas Supply Logistics Pvt. Ltd.,Aviation Overseas Supply Logistics Pvt. Ltd.,Aviation Overseas,Aviation Overseas Supply,Customer
,Avish Machines Pvt. Ltd.,Avish Machines Pvt. Ltd.,Avish Machines,Avish Machines,Customer
,Avi Worldwide Pvt Ltd,Avi Worldwide Pvt Ltd,Avi Worldwide,Avi Worldwide,Customer
,Avon Facility Management Services,Avon Facility Management Services (A Division of Quess Corp Limited),Avon FMS,Avon FMS,Customer
,Awate Engineering Pvt. Ltd.,Awate Engineering Pvt. Ltd.,Awate Engineering,Awate Engineering,Customer
,Axalta Coating Systems India Pvt. Ltd.,Axalta Coating Systems India Pvt. Ltd.,Axalta Coating,Axalta Coating,Customer
,Ayoki Exports,Ayoki Exports,Ayoki Exports,Ayoki Exports,Customer
,B.a.g.g.i. (S.r.l.),B.a.g.g.i. (S.r.l.),B.a.g.g.i.,B.a.g.g.i.,Customer
,Bairavi Industries,Bairavi Industries,Bairavi Industries,Bairavi Industries,Customer
,Bajaj Auto Ltd.,Bajaj Auto Ltd.,Bajaj,Bajaj,Customer
,Bajaj Electricals Ltd.,Bajaj Electricals Ltd.,Bajaj,Bajaj,Customer
,Baker Hughes,Baker Hughes,Baker Hughes,Baker Hughes,Customer
,Bakshi Chempharma Equipments Pvt. Ltd.,Bakshi Chempharma Equipments Pvt. Ltd.,Bakshi Chempharma,Bakshi Chempharma,Customer
,Balaji Enterprises,Balaji Enterprises,Balaji Enterprises,Balaji Enterprises,Customer
,Balkrishna Industries Ltd.,Balkrishna Industries Ltd.,Balkrishna Industries,BKT Tyres,Customer
,Ball Beverage Packing India Pvt. Ltd.,Ball Beverage Packing India Pvt. Ltd.,Ball Beverage Packing,Ball Bev. Packing,Customer
,Bandekar and Sons,Bandekar and Sons,Bandekar and Sons,Bandekar and Sons,Customer
,Bando India Pvt. Ltd.,Bando India Pvt. Ltd.,Bando,Bando India,Customer
,Bangalore International Airport Authority Ltd.,Bangalore International Airport Authority Ltd.,BIAL,BIAL,Customer
,Bangur Cement,Bangur Cement,Bangur Cement,Bangur Cement,Customer
,Banshi Cotton Pvt. Ltd.,Banshi Cotton Pvt. Ltd.,Banshi Cotton,Banshi Cotton,Customer
,Baosteel India Co. Pvt. Ltd.,Baosteel India Co. Pvt. Ltd.,Baosteel,Baosteel India,Customer
,Bar Code India Ltd,Bar Code India Ltd,Bar Code India,BCIL,Customer
,BARG Impex,BARG Impex,BARG Impex,BARG Impex,Customer
,Barry-Callebaut India Pvt. Ltd.,Barry-Callebaut India Pvt. Ltd.,Barry-Callebaut,Barry-Callebaut,Customer
,Bartec India Pvt. Ltd.,Bartec India Pvt. Ltd.,Bartec,Bartec India,Customer
,BASF India Ltd.(Construction Chemicals Division),BASF India Ltd.(Construction Chemicals Division),BASF,BASF India,Customer
,Bayer CropScience Ltd.,Bayer CropScience Ltd.,Bayer,Bayer CropScience,Customer
,Bayer India Ltd.,Bayer India Ltd.,Bayer,Bayer India,Customer
,BDI India Pvt. Ltd.,BDI India Pvt. Ltd.,BDI,BDI (GE Healthcare),Customer
,B.D. Industries Pvt. Ltd.,B.D. Industries Pvt. Ltd.,B.D. Industries,B.D. Industries,Customer
,Beam Global Spirits and Wine India Pvt. Ltd.,Beam Global Spirits and Wine India Pvt. Ltd.,Beam Spirits,Beam Spirits,Customer
,Beckman Coulter India Pvt. Ltd.,Beckman Coulter India Pvt. Ltd.,Beckman Coulter,Beckman Coulter,Customer
,Beico Industries Pvt. Ltd.,Beico Industries Pvt. Ltd.,Beico Industries,Beico,Customer
,Bekaert Industries Pvt. Ltd.,Bekaert Industries Pvt. Ltd.,Bekaert,BEKAERT,Customer
,Bell Fluidtechnics Pvt. Ltd.,Bell Fluidtechnics Pvt. Ltd.,Bell Fluidtechnics,Bell Fluidtechnics,Customer
,BEL Optronic Devices Ltd.,BEL Optronic Devices Ltd.,BEL Optronic,BEL Optronic,Customer
Yes,"Bennett, Coleman and Co. Ltd.",Bennett Coleman and Co. Ltd.,Bennett Coleman,Bennett Coleman,Customer
Yes,"Bennett, Coleman and Co. Ltd.","Bennett, Coleman and Co. Ltd.",Bennett Coleman,"Bennett, Coleman and Co. Ltd.",Customer
,Bennett Institute of Higher Education,Bennett Institute of Higher Education,Bennett Coleman,Bennett Institute,Customer
,Bennett University,Bennett University,Bennett Coleman,Bennett University,Customer
,Best Exports Centre Pvt. Ltd.,Best Exports Centre Pvt. Ltd.,Best Exports,Best Exports Centre Pvt. Ltd.,Customer
,Best Packaging,Best Packaging,Best Packaging,Best Packaging,Customer
,BG Exploration and Production India Ltd.,BG Exploration and Production India Ltd.,BG Exploration,BG Exploration,Customer
,Bhabha atomic research center,Bhabha atomic research center,BARC,Atomic Energy,Customer
,Bhagyalaxmi Rolling Mill Pvt. Ltd.,Bhagyalaxmi Rolling Mill Pvt. Ltd.,Bhagyalaxmi Rolling,Bhagyalaxmi Rolling,Customer
