Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,SABIC Innovative plastics India Pvt. Ltd.,SABIC Innovative plastics India Pvt. Ltd.,SABIC,SABIC,Customer
,Sachiya Mata Agencies,Sachiya Mata Agencies,Sachiya Mata Agencies,Sachiya Mata Agencies,Customer
,Safe Air Engineers Pvt. Ltd.,Safe Air Engineers Pvt. Ltd.,Safe Air Engineers,Safe Air Engineers,Customer
,Safebuy Enterprises,Safebuy Enterprises,Safebuy Enterprises,Safebuy Enterprises,Customer
,Safeline Enterprises,SAFELINE ENTERPRISES,Safeline,SAFELINE ENTERPRISES,Customer
,Safe-Tronocs Automation Pvt. Ltd.,Safe-Tronocs Automation Pvt. Ltd.,Safe-Tronocs,Safe-Tronocs,Customer
,Safety Projects Pvt. Ltd.,Safety Projects Pvt. Ltd.,Safety Projects,Safety Projects,Customer
,Safety Solutions,Safety Solutions,Safety Solutions,Safety Solutions,Customer
,Sagar Cements Ltd.,Sagar Cements Ltd.,Sagar Cements,Sagar Cements,Customer
,Sai Indo Metal Resources Pvt. Ltd.,Sai Indo Metal Resources Pvt. Ltd.,Sai Indo Metal Resources,Sai Indo Metal Resources,Customer
,Saikrupa Industries,Saikrupa Industries,Saikrupa Industries,Saikrupa Industries,Customer
,SAIL Chrome,Sail Chrome,SAIL,Sail Chrome,Customer
,Sai Machine Tools Pvt. Ltd.,Sai Machine Tools Pvt. Ltd.,Sai Machine Tools,Sai Machine Tools,Customer
,Saipem India Projects Ltd.,Saipem India Projects Ltd.,Saipem,Saipem India,Customer
,Sai Utility & Fire Systems (I) Pvt. Ltd.,Sai Utility & Fire Systems (I) Pvt. Ltd.,Sai Utility & Fire Systems,Sai Utility & Fire Systems,Customer
,Saj Test Plant Pvt. Ltd.,Saj Test Plant Pvt. Ltd.,Saj Test Plant,Saj Test Plant,Customer
,Sakata Inx India Ltd.,Sakata Inx India Ltd.,Sakata Inx,Sakata Inx India,Customer
,Samrat Hotel,Samrat Hotel,Samrat Hotel,Samrat Hotel,Customer
,SAMS Facilities Management Pvt Ltd,SAMS Facilities Management Pvt Ltd,SAMS Facilities,SAMS Facilities,Customer
Yes,Samsung C&T Corporation India Pvt. Ltd.,Samsung CandT India,Samsung,Samsung CandT India,Customer
Yes,Samsung India Electronics Pvt. Ltd.,Samsung India Electronics Pvt. Ltd.,Samsung,Samsung,Customer
,Sancheti Industries,Sancheti Industries,Sancheti Industries,Sancheti Industries,Customer
,Sanden Vikas India Ltd.,Sanden Vikas India Ltd.,Sanden Vikas,Sanden Vikas India,Customer
,Sandhar Technologies Ltd.,Sandhar Technologies Ltd.,Sandhar Technologies,Sandhar Technologies,Customer
,S and S Industrial Enterprises,S and S Industrial Enterprises,S&S Industrial,Henkel,Customer
,Sanjay Technoplast Pvt Ltd.,Sanjay Technoplast Pvt Ltd.,Sanjay Technoplast,Sanjay Technoplast,Customer
,Sanmarg Projects Pvt. Ltd.,Sanmarg Projects Pvt. Ltd.,Sanmarg Projects,Sanmarg Projects,Customer
,Sapa Heat Transfer Tubes India Pvt. Ltd.,Sapa Heat Transfer Tubes India Pvt. Ltd.,Sapa Heat Transfer,Sapa Heat Transfer,Customer
,SAP Parts Pvt. Ltd.,SAP Parts Pvt. Ltd.,SAP Parts,SAP Parts,Customer
,Saptarishi Apparels LLP,Saptarishi Apparels LLP,Saptarishi Apparels,Saptarishi Apparels,Customer
,Sapura Energy,Sapura Energy,Sapura Energy,Sapura Energy,Customer
,Sarang Agarwal,Sarang Agarwal,Sarang Agarwal,Sarang Agarwal,Customer
,Saraswathi Institute of Medical Sciences,Saraswathi Institute of Medical Sciences,Saraswathi Medical Institute,Saraswathi Inst. Med,Customer
,Sardar Patel Renewable Energy Research Institute,Sardar Patel Renewable Energy Research Institute,Sardar Patel Institute,Sardar Patel Renew,Customer
,Sasan Power Ltd.,Sasan Power Ltd.,Sasan Power,Sasan Power,Customer
,Satani Forge and Turn,Satani Forge and Turn,Satani Forge,Satani Forge,Customer
,Satguru Electronics,Satguru Electronics,Satguru Electronics,Satguru Electronics,Customer
,Satrac Engineering Pvt. Ltd.,Satrac Engineering Pvt. Ltd.,Satrac Engineering,Satrac Engineering,Customer
,Satyam Autocomponents Ltd.,Satyam Autocomponents Ltd.,Satyam Autocomponent,Satyam Autocomponent,Customer
,Savair Energy Ltd.,Savair Energy Ltd.,Savair Energy,Savair Energy,Customer
,Scada System and Tech Services,Scada System and Tech Services,Scada System Tech,Scada System Tech,Customer
,Scandic Food India Pvt. Ltd.,Scandic Food India Pvt. Ltd.,Scandic Food,Scandic Food India,Customer
,Scania AB,Scania AB,Scania,Scania,Customer
,S.C. Brothers,S.C. Brothers,S.C. Brothers,S.C. Brothers,Customer
,Schenck Rotec India Ltd,Schenck Rotec India Ltd,Schenck Rotec,Schenck Rotec,Customer
Yes,Schlumberger,Schlumberger,Schlumberger,Schlumberger,Customer
,Schlumberger Asia Services Ltd.,Schlumberger Asia Services Ltd.,Schlumberger,Schlumberger,Customer
Yes,Schlumberger Ltd.,Schlumberger Ltd.,Schlumberger,Schlumberger Ltd.,Customer
,Schlumberger WTA Malaysia Sdn Bhd,Schlumberger WTA Malaysia Sdn Bhd,Schlumberger,Schlumberger,Customer
,Schmersal India Pvt. Ltd.,Schmersal India Pvt. Ltd.,Schmersal,Schmersal India,Customer
,Schneider Electric India Pvt. Ltd.,Schneider Electric,Schneider Electric,Schneider Electric,Customer
,Schreiber Dynamix Dairies Pvt. Ltd.,Schreiber Dynamix Dairies Pvt. Ltd.,Schreiber Dynamix,Schreiber Dynamix,Customer
,Scientech Solutions,Scientech Solutions,Scientech Solutions,Scientech Solutions,Customer
,Scientific Corporation,Scientific Corporation,Scientific Corp,Scientific Corp.,Customer
,Scigenics India Pvt. Ltd.,Scigenics India Pvt. Ltd.,Scigenics,Scigenics India,Customer
,Scottish Chemical Industries,Scottish Chemical Industries,Scottish Chemical,Scottish Chemical,Customer
Yes,SD FG McClintoc. Ltd (SDFGML),SD FG McClintoc. Ltd (SDFGML),Shelf Drilling,Shelf Trident,Customer
,Sealands,Sealands,Sealands,Sealands,Customer
,Sea Max Marine Services Pvt. Ltd.,Sea Max Marine Services Pvt. Ltd.,Sea Max Marine,Sea Max Marine,Customer
,Seamec Ltd.,Seamec Ltd.,Seamec,Seamec,Customer
,Sebros Steel Pvt. Ltd.,Sebros Steel Pvt. Ltd.,Sebros Steel,Sebros Steel,Customer
,Seeba Industries Pvt. Ltd.,Seeba Industries Pvt. Ltd.,Seeba Industries,Seeba Industries,Customer
,Seforge Ltd.,Seforge Limited,Seforge Limited,Seforge Limited,Customer
,Seiki Auto India Ltd.,Seiki Auto India Ltd.,Seiki Auto,Seiki Auto India,Customer
,Seoyon E-Hwa Automotive India Pvt. Ltd.,Seoyon E-Hwa Automotive India Pvt. Ltd.,Seoyon,Seoyon E-Hwa Automotive,Customer
,Servewell Household Appliances,Servewell Household Appliances,Servewell Household,Servewell Household,Customer
,Seveillar Clinical Supplies Services Pvt. Ltd.,Seveillar Clinical Supplies Services Pvt. Ltd.,Seveillar Clinical,Seveillar Clinical,Customer
,Seven Chemicals Pvt. Ltd.,Seven Chemicals Pvt. Ltd.,Seven Chemicals,Seven Chemicals,Customer
,Sew-Eurodrive India Pvt. Ltd.,Sew-Eurodrive India Pvt. Ltd.,Sew-Eurodrive,Sew-Eurodrive,Customer
,SGS India Pvt. Ltd.,SGS India Pvt. Ltd.,SGS,SGS India,Customer
,Shah Bhogilal Jethalal and Bros,Shah Bhogilal Jethalal and Bros,Shah Bhogilal,Shah Bhogilal,Customer
,Shah Tools Centre,Shah Tools Centre,Shah Tools Centre,Shah Tools Centre,Customer
,Shakti Pumps India Ltd.,Shakti Pumps India Ltd.,Shakti Pumps,Shakti pumps,Customer
,Shanghai Yinxu Electromechanical Equipment Co. Ltd.,Shanghai Yinxu Electromechanical Equipment Co. Ltd.,Shanghai Yinxu,Shanghai Yinxu,Customer
,Shantha Biotechnics Pvt. Ltd.,Shantha Biotechnics Pvt. Ltd.,Shantha Biotechnics,Shantha Biotechnics,Customer
,Shantiflex,Shantiflex,Shantiflex,Shantiflex,Customer
,Shanti Iron and Steel,Shanti Iron and Steel,Shanti Iron Steel,Shanti Iron Steel,Customer
,Sharda Motor Industries Ltd.,Sharda Motor Industries Ltd.,Sharda Motor,Sharda Motor,Customer
,Shardul Amarchand Mangaldas and Co.,Shardul Amarchand Mangaldas and Co.,Shardul Amarchand,Shardul Amarchand,Customer
,Shaz Packaging LLP,Shaz Packaging LLP,Shaz Packaging,Shaz Packaging,Customer
Yes,Shelf Drilling F.G.MCCLINTOCK,Shelf Drilling F.G.MCCLINTOCK,Shelf Drilling,Shelf Trident,Customer
,Shelf Drilling Offshore Services India Pvt. Ltd.,Shelf Drilling Offshore Services India Pvt. Ltd.,Shelf Drilling,Shelf Drilling Offshore,Customer
,Shelf Drilling Trident XII Ltd.,Shelf Drilling Trident XII Ltd.,Shelf Drilling,Shelf Trident,Customer
,Shell India Markets Pvt. Ltd.,Shell India Markets Pvt. Ltd.,Shell,Shell,Customer
,Shellpack Industries Pvt. Ltd.,Shellpack Industries Pvt. Ltd.,Shellpack Industries,Shellpack Industries,Customer
,Shell Technology Centre,Shell Technology Centre,Shell,Shell,Customer
,Sherni Locks Manufacturers Pvt. Ltd.,Sherni Locks Manufacturers Pvt. Ltd.,Sherni Locks,Sherni Locks,Customer
,Sheth Enterprises,Sheth Enterprises,Sheth Enterprises,Sheth Enterprises,Customer
,Shetron Ltd.,Shetron Ltd.,Shetron,Shetron,Customer
,Shilpan Steelcast Pvt. Ltd.,Shilpan Steelcast Pvt. Ltd.,Shilpan Steelcast,Shilpan Steelcast,Customer
,Shilpayan Pvt. Ltd.,Shilpayan Pvt. Ltd.,Shilpayan,SHILPAYAN,Customer
,Shilpi Cable Technlogies Ltd.,Shilpi Cable Technlogies Ltd.,Shilpi Cable,Shilpi Cable Tech,Customer
,Shimco Steel Enterprises,Shimco Steel Enterprises,Shimco Steel,Shimco Steel,Customer
,S.H. Industrial Needs,S.H Industrial Needs,SH Industrial,S.H Industrial,Customer
,Shirish Engineering Pvt. Ltd.,Shirish Engineering Pvt. Ltd.,Shirish Engineering,Shirish Engineering,Customer
,Shivalik Prints Ltd.,Shivalik Prints Ltd.,Shivalik Prints,Shivalik Prints,Customer
,Shivam Engineering,Shivam Engineering,Shivam Engineering,Shivam Engineering,Customer
,Shivani Power Engineers,Shivani Power Engineers,Shivani Power,Shivani Power,Customer
,Shlesha Trading Co.,Shlesha Trading Co.,Shlesha Trading,Siemens,Customer
,Shop Mate,Shop Mate,Shop Mate,Shop Mate,Customer
,Show Plus Expos,Show Plus Expos,Show Plus Expos,Show Plus Expos,Customer
,Shraddha Industries,Shraddha Industries,Shraddha Industries,Shraddha Industries,Customer
,Shree Bankey Bihari Dental College and Research Centre,Shree Bankey Bihari Dental College and Research Centre,Shree Bankey Dental,Shree Bankey Dental,Customer
,Shree Brijbehari Engg Pvt. Ltd.,Shree Brijbehari Engg Pvt. Ltd.,Shree Brijbehari Engg,Shree Brijbehari,Customer
,Shree Chakra Organics Pvt. Ltd.,Shree Chakra Organics Pvt. Ltd.,Shree Chakra Organic,Shree Chakra Organic,Customer
,Shree Dies,Shree Dies,Shree Dies,Shree Dies,Customer
,Shree Ganesh Engineers,Shree Ganesh Engineers,Shree Ganesh Engineers,Shree Ganesh Eng,Customer
,Shree Ganesh Stamping,Shree Ganesh Stamping,Shree Ganesh Stamping,Shree Ganesh Stamp,Customer
,Shreeji Trading Co.,Shreeji Trading Co.,Shreeji Trading,Shreeji Trading,Customer
,Shree Kanchan Electricals,Shree Kanchan Electricals,Shree Kanchan Electricals,Shree Kanchan Elec,Customer
,Shree Lalita Safety and Rescue Products Pvt. Ltd.,Shree Lalita Safety and Rescue Products Pvt. Ltd.,Shree Lalita Safety,Shree Lalita Safety,Customer
,Shreem Electric Ltd.,Shreem Electric Ltd.,Shreem Electric,Shreem Electric,Customer
,Shreenath Tools Centre,Shreenath Tools Centre,Shreenath Tools,Shreenath Tools Cent,Customer
,Shree Polymers,Shree Polymers,Shree Polymers,Shree Polymers,Customer
,Shree Sai Coaters,Shree Sai Coaters,Shree Sai Coaters,Shree Sai Coaters,Customer
,Shree Samarth Enterprises,Shree Samarth Enterprises,Shree Samarth Enterprises,Shree Samarth Enterprises,Customer
,Shri Balaji Overseas,Shri Balaji Overseas,Shri Balaji Overseas,Balaji Overseas,Customer
,Shri Mata Vaishno Devi Narayana Superspeciality Hospital,Shri Mata Vaishno Devi Narayana Superspeciality Hospital,Narayana Hospital,Narayana Health,Customer
,Shriram EPC,Shriram EPC,Shriram EPC,Shriram EPC,Customer
,Shriram Pistons and Rings Ltd.,Shriram Pistons and Rings Ltd.,Shriram Pistons,Shriram Pistons,Customer
,Shroff And Associates Engineers Pvt. Ltd.,Shroff And Associates Engineers Pvt. Ltd.,Shroff Associates,Shroff Associates,Customer
,Shubham Housing Development Finance Co. Ltd.,Shubham Housing Development Finance Co. Ltd.,Shubham Housing,Shubham Housing,Customer
,SHV Energy Pvt. Ltd.,SHV Energy Pvt. Ltd.,SHV Energy,SHV Energy,Customer
,SICIM,Sicim S.P.A,SICIM,Sicim S.P.A,Customer
,Siddharth Enterprises,Siddharth Enterprises,Siddharth Enterprise,Siddharth Enterprise,Customer
,Siddharth Starch Pvt. Ltd.,Siddharth Starch Pvt. Ltd.,Siddharth Starch,Siddharth Starch,Customer
,Siddhi Works,Siddhi Works,Siddhi Works,Siddhi Works,Customer
,Siemens Ltd.,Siemens Ltd.,Siemens,Siemens,Customer
,Siemens Product Lifecycle Management Software Inc.,Siemens Product Lifecycle Management Software Inc.,Siemens,Siemens Product,Customer
,Sigma Air Filters,Sigma Air Filters,Sigma Air Filters,Sigma Air Filters,Customer
,Sigma Engineers Works,Sigma Engineers Works,Sigma Engineers,Sigma Engineers,Customer
,Signature Cosmetics and Fragrances,Signature Cosmetics and Fragrances,Signature Cosmetics and Fragrances,Signature Cosmetics and Fragrances,Customer
,SI Group - India Ltd.,SI Group - India Ltd.,SI Group,SI Group - India,Customer
,Silverline Electricals Pvt. Ltd.,Silverline Electricals Pvt. Ltd.,Silverline Electricals,Silverline Elec,Customer
,Silver Spark Apparel Ltd.,Silver Spark Apparel Ltd.,Raymond,Raymond,Customer
,Simbhaoli Sugars Ltd.,Simbhaoli Sugars Ltd.,Simbhaoli,Simbhaoli,Customer
,Simplex Infrastructures Ltd.,Simplex Infrastructures Ltd.,Simplex,Simplex,Customer
,Singapore India Trade Resources Co,Singapore India Trade Resources Co,Singapore India Trade,Singapore India Trade Resources Co,Customer
,Singer India Ltd.,Singer India Ltd.,Singer,Singer India Ltd.,Customer
,Sinwoo Pack India Pvt. Ltd.,Sinwoo Pack India Pvt. Ltd.,Sinwoo Pack,Sinwoo Pack India,Customer
,Siyaram Silk Mills Ltd.,Siyaram Silk Mills Ltd.,Siyaram,SIYARAM,Customer
,SJM Hospital and IVF Centre,SJM Hospital and IVF Centre,SJM Hospital,SJM Hospital,Customer
,SKC Group,SKC Group,SKC Group,SKC Group,Customer
,S.K. Enterprises,S.K.Enterprises,SK Enterprises,S.K.Enterprises,Customer
,SKF,SKF,SKF,SKF,Customer
,SKH Sheet Metals Component Pvt. Ltd.,SKH Sheet Metals Component Pvt. Ltd.,SKH Sheet Metals,SKH Sheet Metals,Customer
,Skimmeronline Pty. Ltd.,Skimmer On Line Pty Ltd.,Skimmeronline,Skimmer On Line,Customer
,SK Oilfield Services Pvt. Ltd.,SK Oilfiled Services Pvt. Ltd.,SK Oilfield,SK Oilfiled,Customer
,Skygourmet Catering Pvt. Ltd.,Skygourmet Catering Pvt. Ltd.,Skygourmet Catering,Skygourmet Catering,Customer
,Slidewell Meilleur Tech-Pvt. Ltd.,Slidewell Meilleur Tech-Pvt. Ltd.,Slidewell Meilleur,Slidewell Meilleur,Customer
,S L Shet Diamond House,S L Shet Diamond House,S L Shet Diamond,S L Shet Diamond,Customer
,Smart Industrial Supplies Trading,Smart Industrial Supplies Trading,Smart Industrial,Smart Industrial Sup,Customer
,Smart Techno System India Pvt. Ltd.,Smart Techno System India Pvt. Ltd.,Smart Techno,Smart Techno Sys,Customer
,SM Cylinders,SM Cylinders,SM Cylinders,SM Cylinders,Customer
,SM LPG Cylinder Pvt. Ltd.,SM LPG Cylinder Pvt. Ltd.,SM LPG Cylinder,SM LPG Cylinder,Customer
,SMPS Supply Pvt. Ltd.,SMPS Supply Pvt. Ltd.,SMPS Supply,SMPS Supply,Customer
,SNECMA HAL,Snecma HAL,HAL,Snecma HAL,Customer
,Sneha Enterprises,Sneha Enterprises,Sneha Enterprises,Sneha Enterprises,Customer
,Sobek Auto India Pvt. Ltd.,Sobek Auto India Private Limited,Sobek Auto India Private Limited,Sobek Auto India Private Limited,Customer
,Sodexo India On-Site Service Solutions,Sodexo India On-Site Service Solutions,Sodexo,Sodexo,Customer
,Sofitel Mumbai BKC,Sofitel Mumbai BKC,Sofitel,Sofitel Mumbai BKC,Customer
,Soham Energy Systems,Soham Energy Systems,Soham Energy,Soham Energy,Customer
,Soktas India Pvt. Ltd.,Soktas India Pvt. Ltd.,Soktas,SOKTAS,Customer
,Solo Manufacturing Pvt. Ltd.,Solo Manufacturing Pvt. Ltd.,Solo Manufacturing,Solo Manufacturing,Customer
,Sonaais Exports,Sonaais Exports,Sonaais Exports,Sonaais Exports,Customer
,Sona Koyo Steering Systems Ltd.,Sona Koyo Steering Systems Ltd.,Sona Koyo Steering,Sona Koyo Steering,Customer
,Sona Papers Pvt. Ltd.,Sona Papers Pvt. Ltd.,Sona Papers,Sona Papers Pvt. Ltd.,Customer
,Song Quang Co. Ltd.,Song Quang Co. Ltd.,Song Quang,Song Quang,Customer
,Sopan O&M Co. Pvt. Ltd.,Sopan O&M Co. Pvt. Ltd.,Sopan O&M,Sopan O&M Co. Pvt. Ltd.,Customer
,Sotax India Pvt. Ltd.,Sotax India Pvt. Ltd.,Sotax,Sotax,Customer
,Sourceone Industrial Supply,Sourceone Industrial Supply,Sourceone,Sourceone Industrial,Customer
,Southern Spars International Pvt. Ltd.,Southern Spars International Pvt. Ltd.,Southern Spars,Southern Spars,Customer
,South West Pinnacle Exploration Pvt. Ltd.,South West Pinnacle Exploration Pvt. Ltd.,South West Pinnacle Exploration,South West Pinnacle,Customer
,Sovereign Kraft Enterprises,Sovereign Kraft Enterprises,Sovereign Kraft,Sovereign Kraft,Customer
,SovereignTech Engineering Service Pvt. Ltd.,SovereignTech Engineering Service Pvt. Ltd.,SovereignTech Engg,SovereignTech Engg,Customer
,Space Applications Centre,Space Applications Centre,Space Applications Centre,Space App. Centre,Customer
,Spacenex Aero Pvt Ltd,Spacenex Aero Pvt Ltd,Spacenex Aero,Spacenex Aero,Customer
,Spack Automotives,Spack Automotives,Spack Automotives,Spack Automotives,Customer
,Span Associates,Span Associates,Span Associates,Span Associates,Customer
,Spannkraft Hydrosystems Pvt. Ltd.,Spannkraft Hydrosystems Pvt. Ltd.,Spannkraft Hydrosystems,Spannkraft Hydrosystems Pvt. Ltd.,Customer
,SP Armada Oil Exploration Pvt. Ltd.,SP Armada Oil Exploration Pvt. Ltd.,SP Armada,SP Armada Oil,Customer
,Sparsh Welfare Trust,Sparsh Welfare Trust,Sparsh Welfare Trust,Sparsh Welfare Trust,Customer
,Spartan Supply Pvt. Ltd.,Spartan Supply Pvt. Ltd.,Spartan Supply,Spartan Supply,Customer
,SpiceJet Ltd.,SpiceJet Ltd.,SpiceJet,SpiceJet,Customer
,Spiro Lifecare Pvt. Ltd.,Spiro Lifecare Pvt. Ltd.,Spiro Lifecare,Spiro Lifecare,Customer
,SpringHouse Coworking Pvt. Ltd.,SpringHouse Coworking Pvt. Ltd.,SpringHouse,SpringHouse,Customer
,Sprint Testing,Sprint Testing,TEST,TEST,Customer
,SPS International Services India Pvt. Ltd.,SPS International Services India Pvt. Ltd.,SPS International,SPS International,Customer
,Square Foot,Square Foot,Square Foot,Square Foot,Customer
,SRF Ltd.,SRF Ltd.,SRF,SRF Ltd.,Customer
,Sri Ayyappa Industries,Sri Ayyappa Industries,Sri Ayyappa Industries,Ayyappa Industries,Customer
,Sri Lakshmi Enterprises,Sri Lakshmi Enterprises,Sri Lakshmi Enterprises,Sri Lakshmi Enterprises,Customer
,Sri Vinayaga Industries,Sri Vinayaga Industries,Sri Vinayaga Industries,Sri Vinayaga Industries,Customer
,S.S. Khardekar India Pvt. Ltd.,S.S.Khardekar India Pvt. Ltd.,S.S.Khardekar,S.S.Khardekar,Customer
,Stable Packaging Pvt. Ltd.,Stable Packaging Pvt. Ltd.,Stable Packaging,Stable Packaging,Customer
,STA-CO Nutra Products Pvt. Ltd.,STA-CO Nutra Products Pvt. Ltd.,STA-CO Nutra,STA-CO Nutra,Customer
,Stanadyne Amalgamations Pvt. Ltd.,Stanadyne Amalgamations Pvt. Ltd.,Stanadyne,Stanadyne,Customer
,Stanley Engineered Fastening India Pvt. Ltd.,Stanley Engineered Fastening India Pvt. Ltd.,Stanley,Stanley Engineered,Customer
,Star Equipment and Service Co. Ltd.,Star Equipment and Service Co. Ltd.,Star Equipment,Star Equipment,Customer
,Starion India Pvt. Ltd.,Starion India Pvt. Ltd.,Starion,Starion India,Customer
,STAUFF India Pvt. Ltd.,STAUFF India Pvt. Ltd.,STAUFF,STAUFF India,Customer
,Steelcase,Steelcase,Steelcase,Steelcase,Customer
,Stellar Ventures Pvt. Ltd.,Stellar Ventures Pvt. Ltd.,Stellar Ventures,Stellar Ventures,Customer
,Stelmec Ltd.,Stelmec Ltd.,Stelmec,Stelmec,Customer
,Sterling And Wilson Pvt. Ltd.,Sterling And Wilson Pvt. Ltd.,Sterling And Wilson,Sterling And Wilson,Customer
,Sterling Auxiliaries Pvt. Ltd.,Sterling Auxiliaries Pvt. Ltd.,Sterling Auxiliaries,Sterling Auxiliaries,Customer
,Sterling Chemicals and Alcohols Pvt. Ltd.,Sterling Chemicals and Alcohols Pvt. Ltd.,Sterling Chemicals,Sterling Chemicals,Customer
,Sterling Submersible Pump,Sterling Submersible Pump,Sterling Submersible,Sterling Submersible,Customer
,Sterlite Industrial Service,Sterlite Industrial Service,Sterlite,Sterlite Tech,Customer
,Sterlite Technologies Ltd.,Sterlite Technologies Ltd.,Sterlite,Sterlite Technologies,Customer
,Stesalit Systems Ltd.,Stesalit Systems Ltd.,Stesalit Sys,Stesalit Sys,Customer
,STG Heating Pvt. Ltd.,STG Heating Pvt. Ltd.,STG Heating,STG Heating,Customer
,Studds Accessories Ltd.,Studds Accessories Ltd.,Studds Accessories,Studds Accessories,Customer
,Stypack Polyfoams Pvt. Ltd.,Stypack Polyfoams Pvt. Ltd.,Stypack Polyfoams,Stypack Polyfoams,Customer
,Subh Thermal,Subh Thermal,Subh Thermal,Subh Thermal,Customer
,Subnil Packing Machines,Subnil Packing Machines,Subnil Packing,Subnil Packing,Customer
,Subrata,Subrata!!,Subrata,Demo Account 1,Customer
,Sudarshan Chemical Industries Ltd.,Sudarshan Chemical Industries Limited,Sudarshan Chemical,Sudarshan Chemical,Customer
,Sud-Chemie India Pvt. Ltd.,Sud-Chemie India Pvt. Ltd.,Sud-Chemie,Sud-Chemie,Customer
,Suddpram Auto Engineering Co. Pvt. Ltd.,Suddpram Auto Engineering Co. Pvt. Ltd.,Suddpram Auto Engg,Suddpram Auto Engg,Customer
,Sujan Industries,Sujan Industries,Sujan Industries,Sujan Industries,Customer
,Sukan Engineering Pvt. Ltd.,Sukan Engineering Pvt. Ltd.,Sukan,Sukan,Customer
,Sulzer Pumps India Pvt. Ltd.,Sulzer Pumps India Pvt. Ltd.,Sulzer,Sulzer Pumps India Pvt. Ltd.,Customer
,Sumo Poly Plast Pvt. Ltd.,Sumo Poly Plast Pvt. Ltd.,Sumo Poly Plast,Sumo Poly Plast,Customer
,Sumuk Engineering,Sumuk Engineering,Sumuk Engineering,Sumuk Engineering,Customer
,Suncity Projects Pvt. Ltd.,Suncity Projects Pvt. Ltd.,Suncity Projects,Suncity Projects,Customer
,Sundaram Fasteners Ltd.,Sundaram Fasteners Ltd.,Sundaram Fasteners,Sundaram Fasteners,Customer
,Sundaram Motors,Sundaram Motors,Sundaram Motors,Sundaram Motors,Customer
,Sun Enterprise,Sun Enterprise,Sun Enterprise,Sun Enterprise,Customer
,Sunflag Iron And Steel Co. Ltd.,Sunflag Iron And Steel Co. Ltd.,Sunflag Iron Steel,Sunflag Iron Steel,Customer
,Sun Forge Pvt. Ltd.,Sun Forge Pvt. Ltd.,Sun Forge,Sun Forge,Customer
,Sun Petrochemicals Pvt. Ltd,Sun Petrochemicals Pvt. Ltd,Sun Petrochem,Legacy Account,Customer
,Sun Pharmaceutical Industries Ltd.,Sun Pharmaceutical Industries Ltd.,Sun Pharma,Sun Pharma,Customer
,Sun Polymers Pvt. Ltd.,Sun Polymers Pvt. Ltd.,Sun Polymers,Sun Polymers,Customer
,Sunpower India Ventures Pvt. Ltd.,Sunpower India Ventures Pvt. Ltd.,Sunpower India Ventures,Sunpower India,Customer
,Sunrise Biscuit Co. Pvt. Ltd.,Sunrise Biscuit Co. Pvt. Ltd.,Sunrise Biscuit,Sunrise Biscuit,Customer
,Supack Industries Pvt. Ltd.,Supack Industries Pvt. Ltd.,Supack Industries,Supack Industries,Customer
,Super Highway Labs Pvt. Ltd.,Super Highway Labs Pvt. Ltd.,Super Highway Labs,Super Highway Labs,Customer
,Super Lite Jointings Pvt. Ltd.,Super Lite Jointings Pvt. Ltd.,Super Lite Jointings,Super Lite Jointings,Customer
,Supermarket Grocery Supplies Pvt. Ltd.,Supermarket Grocery Supplies Pvt. Ltd.,Big Basket,Big Basket,Customer
,Supermax personal Care Pvt. Ltd.,Supermax personal Care Pvt. Ltd.,Supermax,Supermax personal Care Pvt. Ltd.,Customer
,Super Mechanical Seal Pvt. Ltd.,Super Mechanical Seal Pvt. Ltd.,Super Mechanical,Super Mechanical,Customer
,Super Polymers,Super Polymers,Super Polymers,Super Polymers,Customer
,Super Seals India Pvt. Ltd.,Super Seals India Pvt. Ltd.,Super Seals,Super Seals India,Customer
,Super Star Services,Super Star Services,Super Star Services,Super Star Services,Customer
,Supreme Infrastructure India Ltd.,Supreme Infrastructure India Ltd.,Supreme Infra,Supreme Infra,Customer
,Supreme Offshore Constructions And Tech Serv Ltd.,Supreme Offshore Constructions And Tech Serv Ltd.,Supreme Offshore,Supreme Offshore,Customer
,Supreme Petrochem Pvt. Ltd.,Supreme Petrochem Pvt. Ltd.,Supreme Petrochem,Supreme Petrochem,Customer
,Supremex Equipments,Supremex Equipments,Supremex,Supremex Equipments,Customer
,Suraj Colour Roof,Suraj Colour Roof,Suraj Colour Roof,Suraj Colour Roof,Customer
,Sureka Group,Sureka Group,Sureka Group,Sureka Group,Customer
,Surface Shiners,Surface Shiners,Surface Shiners,Surface Shiners,Customer
,Surindra Electricals,Surindra Electricals,Surindra Electricals,Surindra Electricals,Customer
,Survival Systems India,Survival Systems India,SSI,Indian Navy,Customer
,Sushma Dial Services,Sushma Dial Services,Sushma Dial Services,Sushma Dial Services,Customer
,Suyash Enterprises,Suyash Enterprises,Suyash Enterprises,Suyash Enterprises,Customer
,Suzlon Energy Ltd.,Suzlon Energy Ltd.,Suzlon,Suzlon,Customer
,Suzuki Motor Gujarat Pvt. Ltd.,Suzuki Motor Gujarat Pvt. Ltd.,Suzuki,Suzuki Motor,Customer
,Swaraj Enterprises,Swaraj Enterprises,Swaraj Enterprises,Swaraj Enterprises,Customer
,Swarovski India Pvt. Ltd.,Swarovski India Pvt. Ltd.,Swarovski,Swarovski India,Customer
